"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.231753080E-1,-2.926044464E-1,-3.481931984E-2,1.246165112E-1,3.199359654E-1
1.255532800E-1,-2.858849466E-1,-3.420845419E-2,1.350012124E-1,3.180027490E-1
1.273044610E-1,-2.803871334E-1,-2.993239649E-2,1.435533315E-1,3.164181599E-1
1.296105870E-1,-2.742784917E-1,-2.504547499E-2,1.472185254E-1,3.122967516E-1
1.313917310E-1,-2.675589919E-1,-1.527163107E-2,1.588249654E-1,3.115227223E-1
1.337153950E-1,-2.553416789E-1,-6.719517522E-3,1.655444801E-1,3.043838034E-1
1.355032310E-1,-2.504547536E-1,-3.054326167E-3,1.704314053E-1,3.029583741E-1
1.378207410E-1,-2.321287990E-1,3.054326167E-3,1.802052408E-1,2.938826927E-1
1.399673180E-1,-2.113593817E-1,0.000000000E0,1.832595766E-1,2.797442772E-1
1.418688560E-1,-1.912008226E-1,-1.038470957E-2,1.875356287E-1,2.680209111E-1
1.436234610E-1,-1.777617931E-1,-1.954768784E-2,1.857030392E-1,2.578119197E-1
1.459863180E-1,-1.582140923E-1,-3.359758854E-2,1.826487035E-1,2.439693543E-1
1.477151540E-1,-1.423316002E-1,-5.497787148E-2,1.795943826E-1,2.356586367E-1
1.500429720E-1,-1.264491081E-1,-7.208210230E-2,1.710422635E-1,2.245899871E-1
1.518282690E-1,-1.227839142E-1,-8.368854225E-2,1.643227488E-1,2.215437371E-1
1.541486260E-1,-1.136209369E-1,-1.062905490E-1,1.533271819E-1,2.184413487E-1
1.559206540E-1,-1.130100712E-1,-1.252273768E-1,1.496619880E-1,2.255036203E-1
1.582533560E-1,-1.142318025E-1,-1.331686229E-1,1.466076523E-1,2.286407456E-1
1.603540870E-1,-1.209513173E-1,-1.429424733E-1,1.368338168E-1,2.319165049E-1
1.622895870E-1,-1.295034289E-1,-1.466076523E-1,1.343903542E-1,2.373303797E-1
1.640235770E-1,-1.411098689E-1,-1.435533315E-1,1.276708394E-1,2.383681970E-1
1.664081640E-1,-1.490511149E-1,-1.380555481E-1,1.258382350E-1,2.389787242E-1
1.681478850E-1,-1.563815027E-1,-1.172861308E-1,1.178969890E-1,2.282781437E-1
1.704666260E-1,-1.679879427E-1,-8.552113175E-2,1.123992056E-1,2.194707139E-1
1.722373080E-1,-1.698205322E-1,-7.147123665E-2,1.069014147E-1,2.130142326E-1
1.745747790E-1,-1.716531366E-1,-3.054326214E-2,9.896016866E-2,2.004764454E-1
1.763665380E-1,-1.728748679E-1,1.404990070E-2,9.162978828E-2,1.961609996E-1
1.786802790E-1,-1.679879427E-1,5.681046844E-2,7.696902007E-2,1.933173770E-1
1.808263950E-1,-1.588249654E-1,8.368854225E-2,6.963863969E-2,1.925582558E-1
1.827284720E-1,-1.533271819E-1,1.374446750E-1,5.619960278E-2,2.134447440E-1
1.845350770E-1,-1.362229437E-1,1.942551434E-1,4.337143153E-2,2.411904480E-1
1.868475490E-1,-1.197295859E-1,2.553416789E-1,2.809980139E-2,2.834151470E-1
1.885690380E-1,-1.099557430E-1,2.840523422E-1,2.260201424E-2,3.054289599E-1
1.909058560E-1,-9.040805697E-2,3.396410644E-1,2.443460980E-3,3.514763717E-1
1.927402310E-1,-6.597344577E-2,3.921754956E-1,-1.893682219E-2,3.981365572E-1
1.950119330E-1,-5.436700583E-2,4.141666293E-1,-2.809980139E-2,4.186637875E-1
1.967806920E-1,-3.176499158E-2,4.587597847E-1,-5.009094998E-2,4.625782723E-1
1.991171640E-1,-1.038470957E-2,4.996877611E-1,-7.208210230E-2,5.049668605E-1
2.012190100E-1,1.282817032E-2,5.351179838E-1,-9.040805697E-2,5.428530513E-1
2.031819330E-1,2.260201424E-2,5.497786999E-1,-1.020144969E-1,5.596198955E-1
2.049379610E-1,4.520402849E-2,5.766568184E-1,-1.197295859E-1,5.906874505E-1
2.073012410E-1,7.147123665E-2,6.004805565E-1,-1.313360333E-1,6.188167661E-1
2.090962690E-1,9.407325089E-2,6.090326309E-1,-1.362229437E-1,6.311316918E-1
2.113600870E-1,1.032362282E-1,6.249151230E-1,-1.478293836E-1,6.504076848E-1
2.131290770E-1,1.258382350E-1,6.383541822E-1,-1.539380401E-1,6.686017077E-1
2.154663950E-1,1.459967941E-1,6.456845403E-1,-1.606575549E-1,6.812007335E-1
2.172464230E-1,1.551597714E-1,6.511823535E-1,-1.594358236E-1,6.881371913E-1
2.195718180E-1,1.704314053E-1,6.560692787E-1,-1.569923609E-1,6.957875852E-1
2.217178560E-1,1.820378453E-1,6.572909951E-1,-1.533271819E-1,6.990554013E-1
2.236203560E-1,1.918116808E-1,6.499606371E-1,-1.478293836E-1,6.936094559E-1
2.253610770E-1,1.954768747E-1,6.456845403E-1,-1.429424733E-1,6.896029907E-1
2.277380100E-1,2.034181207E-1,6.273586154E-1,-1.319468915E-1,6.725828918E-1
2.294619230E-1,2.028072625E-1,6.029239893E-1,-1.154535338E-1,6.465119033E-1
2.317945100E-1,2.028072625E-1,5.888741016E-1,-1.081231460E-1,6.321345648E-1
2.335787690E-1,1.991420686E-1,5.571091175E-1,-8.796459436E-2,5.981353544E-1
2.358984710E-1,1.924225539E-1,5.204572082E-1,-6.963863969E-2,5.592420629E-1
2.376696540E-1,1.838704348E-1,4.813618064E-1,-5.070181563E-2,5.177723434E-1
2.400028560E-1,1.795943826E-1,4.642575979E-1,-4.214970022E-2,4.995656681E-1
2.421036640E-1,1.710422635E-1,4.245513380E-1,-2.321287990E-2,4.582991733E-1
2.440657410E-1,1.649336219E-1,3.885102868E-1,-3.054326167E-3,4.220813565E-1
2.458285000E-1,1.557706445E-1,3.524692357E-1,1.893682219E-2,3.858207602E-1
2.481820870E-1,1.521054506E-1,3.329215646E-1,2.871066704E-2,3.671472983E-1
2.499186540E-1,1.429424733E-1,3.042109013E-1,4.581489414E-2,3.392282825E-1
2.522382790E-1,1.374446750E-1,2.809980214E-1,6.475171447E-2,3.194428137E-1
2.540134230E-1,1.343903542E-1,2.730567753E-1,7.391469181E-2,3.131838941E-1
2.563442020E-1,1.331686229E-1,2.553416789E-1,8.979719132E-2,3.016567431E-1
2.581311150E-1,1.362229437E-1,2.461786866E-1,1.032362282E-1,2.996971053E-1
2.604484330E-1,1.368338168E-1,2.443460971E-1,1.160643995E-1,3.031492263E-1
2.625940100E-1,1.411098689E-1,2.394591719E-1,1.209513173E-1,3.031202917E-1
2.644960480E-1,1.472185254E-1,2.443460971E-1,1.331686229E-1,3.148208880E-1
2.662570770E-1,1.563815027E-1,2.455678284E-1,1.392772794E-1,3.227334710E-1
2.686125100E-1,1.643227488E-1,2.455678284E-1,1.441642046E-1,3.287686755E-1
2.703451150E-1,1.698205322E-1,2.486221492E-1,1.472185254E-1,3.351496389E-1
2.726679330E-1,1.808161139E-1,2.547308207E-1,1.508837193E-1,3.469123157E-1
2.744575770E-1,1.899790913E-1,2.602286041E-1,1.459967941E-1,3.537316008E-1
2.767709330E-1,1.954768747E-1,2.632829249E-1,1.478293836E-1,3.596979757E-1
2.785411540E-1,2.076941878E-1,2.657263875E-1,1.392772794E-1,3.648911470E-1
2.808741250E-1,2.229658216E-1,2.669481039E-1,1.331686229E-1,3.724364777E-1
2.829741640E-1,2.327396572E-1,2.693915665E-1,1.233947799E-1,3.767835397E-1
2.849350480E-1,2.388483137E-1,2.681698501E-1,1.197295859E-1,3.785482257E-1
2.867723460E-1,2.547308207E-1,2.663372457E-1,1.130100712E-1,3.854796955E-1
2.890522020E-1,2.718350291E-1,2.620611787E-1,1.062905490E-1,3.922601500E-1
2.907967310E-1,2.803871334E-1,2.571742535E-1,1.001819000E-1,3.934360867E-1
2.931090480E-1,2.974913716E-1,2.541199327E-1,9.529497474E-2,4.026899410E-1
2.949089230E-1,3.121521473E-1,2.431243658E-1,8.979719132E-2,4.057239898E-1
2.972140480E-1,3.310889602E-1,2.296853364E-1,8.124507964E-2,4.110669243E-1
2.989991540E-1,3.384193480E-1,2.211332172E-1,7.880161703E-2,4.118704283E-1
3.013185100E-1,3.543018401E-1,2.046398520E-1,7.391469181E-2,4.157771574E-1
3.034642790E-1,3.640756905E-1,1.850921661E-1,7.269296050E-2,4.148427230E-1
3.053656250E-1,3.732386529E-1,1.594358236E-1,6.902777404E-2,4.116937059E-1
3.071205770E-1,3.799581826E-1,1.496619880E-1,6.658431143E-2,4.137637027E-1
3.094822020E-1,3.866777122E-1,1.270599663E-1,6.352998316E-2,4.119465341E-1
3.112106150E-1,3.940080702E-1,1.032362282E-1,6.047565863E-2,4.117734614E-1
3.135385480E-1,3.915646076E-1,9.162978828E-2,5.681046844E-2,4.061358016E-1
3.153698070E-1,3.952298164E-1,6.780604273E-2,5.070181563E-2,4.041966617E-1
3.176423560E-1,3.958406746E-1,5.070181563E-2,4.398229718E-2,4.014909168E-1
3.196620000E-1,3.958406746E-1,3.359758854E-2,3.848451003E-2,3.991236590E-1
3.217141250E-1,3.982841372E-1,2.748893574E-2,3.237585723E-2,4.005422471E-1
3.237805480E-1,4.013384581E-1,1.588249579E-2,2.504547499E-2,4.024327117E-1
3.257430480E-1,4.037819207E-1,7.330383174E-3,1.160643995E-2,4.040152020E-1
3.274857310E-1,4.062253833E-1,4.886921961E-3,7.941247895E-3,4.063323854E-1
3.298602790E-1,4.166100919E-1,1.832595794E-3,-3.665191587E-3,4.166302446E-1
3.316448840E-1,4.263839424E-1,0.000000000E0,-1.282817032E-2,4.265768726E-1
3.339163560E-1,4.453207552E-1,4.886921961E-3,-2.382374369E-2,4.459843358E-1
3.357024610E-1,4.550946057E-1,6.719517522E-3,-2.993239649E-2,4.561273949E-1
3.380226630E-1,4.783074856E-1,1.282817032E-2,-4.214970022E-2,4.803323953E-1
3.397939230E-1,5.057964325E-1,2.321287990E-2,-5.314527452E-2,5.091102917E-1
3.421260480E-1,5.369505286E-1,3.543018550E-2,-6.780604273E-2,5.423733287E-1
3.442715090E-1,5.546656251E-1,4.642575979E-2,-7.269296050E-2,5.613319636E-1
3.461730480E-1,5.907067060E-1,6.475171447E-2,-8.491026610E-2,6.002807263E-1
3.479074230E-1,6.291912198E-1,8.857546002E-2,-1.007927656E-1,6.433400227E-1
3.502908170E-1,6.469063163E-1,1.020144969E-1,-1.081231460E-1,6.637660388E-1
3.520193460E-1,6.866125464E-1,1.282816976E-1,-1.166752651E-1,7.081709542E-1
3.543459330E-1,7.257078886E-1,1.582140923E-1,-1.313360333E-1,7.542763368E-1
3.561191920E-1,7.721336484E-1,1.930334121E-1,-1.435533315E-1,8.087396541E-1
3.584497020E-1,7.910705209E-1,2.162462920E-1,-1.490511149E-1,8.335294012E-1
3.603110770E-1,8.417723179E-1,2.577851415E-1,-1.637118906E-1,8.954526215E-1
3.625541630E-1,8.900306821E-1,3.097086847E-1,-1.783726513E-1,9.591094240E-1
3.646545480E-1,9.437867999E-1,3.567453027E-1,-1.942551434E-1,1.027490046E0
3.666168940E-1,9.706648588E-1,3.799581826E-1,-2.028072625E-1,1.061927151E0
3.683611150E-1,1.031140566E0,4.282165468E-1,-2.199114859E-1,1.137972469E0
3.707334320E-1,1.091616154E0,4.703662395E-1,-2.382374406E-1,1.212281859E0
3.724541540E-1,1.125824690E0,4.935791194E-1,-2.498438805E-1,1.254401668E0
3.747892020E-1,1.186911225E0,5.332853794E-1,-2.669481039E-1,1.328312028E0
3.765696540E-1,1.251052022E0,5.656611919E-1,-2.883284092E-1,1.402938708E0
3.788936250E-1,1.316414595E0,5.913175344E-1,-3.097086847E-1,1.475982141E0
3.807008840E-1,1.350012183E0,6.004805565E-1,-3.231477141E-1,1.512459665E0
3.829978940E-1,1.416596532E0,6.120869517E-1,-3.420845270E-1,1.580638477E0
3.851435480E-1,1.480737329E0,6.145304441E-1,-3.579670191E-1,1.642671936E0
3.870451250E-1,1.513724089E0,6.108652353E-1,-3.677408695E-1,1.673245439E0
3.887748460E-1,1.580308437E0,6.017022729E-1,-3.787364662E-1,1.732876710E0
3.911612790E-1,1.642005801E0,5.791002512E-1,-3.940080702E-1,1.785156159E0
3.928793460E-1,1.701259732E0,5.485569835E-1,-4.043927789E-1,1.832684632E0
3.952173170E-1,1.729970336E0,5.345070958E-1,-4.086688459E-1,1.856207269E0
3.969864610E-1,1.780061364E0,4.954117239E-1,-4.227187634E-1,1.895453083E0
3.993216250E-1,1.828319669E0,4.544837475E-1,-4.312708676E-1,1.932693160E0
4.010906150E-1,1.849089146E0,4.392121136E-1,-4.361577928E-1,1.949941427E0
4.034260480E-1,1.885740995E0,4.031710625E-1,-4.416555762E-1,1.978288567E0
4.055270480E-1,1.916284323E0,3.799581826E-1,-4.440990388E-1,2.003431502E0
