"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.799255810E-1,1.039171219E-1,1.728832722E-2,8.794784546E-2,1.372314760E-1
5.881361200E-1,8.425807953E-2,-1.381289959E-2,9.335756302E-2,1.265142472E-1
5.963439660E-1,7.894229889E-2,-1.952171326E-3,8.918428421E-2,1.191198307E-1
6.045874270E-1,9.043598175E-2,-1.377284527E-2,7.064914703E-2,1.155839956E-1
6.127945430E-1,7.319736481E-2,-1.118481159E-2,5.212450027E-2,9.055339725E-2
6.210010040E-1,7.765531540E-2,-1.575815678E-2,6.215429306E-2,1.007066217E-1
6.292231200E-1,9.643888474E-2,-2.277767658E-2,4.588317871E-2,1.091995748E-1
6.374307730E-1,1.058979034E-1,-1.529288292E-2,4.370355606E-2,1.155778484E-1
6.456730430E-1,1.105861664E-1,-5.302906036E-3,9.180879593E-2,1.438272437E-1
6.538804660E-1,1.223568916E-1,-5.133867264E-3,8.490705490E-2,1.490193729E-1
6.620877730E-1,9.103727341E-2,-1.450204849E-2,7.801151276E-2,1.207637805E-1
6.703005040E-1,1.076107025E-1,-3.117251396E-2,7.107782364E-2,1.326794857E-1
6.785081960E-1,1.074542999E-1,-3.596472740E-2,4.732561111E-2,1.227990295E-1
6.867509660E-1,1.050200462E-1,-4.064035416E-2,5.458259583E-2,1.251403543E-1
6.949581580E-1,9.311628342E-2,-2.129793167E-2,6.412172318E-2,1.150471187E-1
7.031650420E-1,9.550189972E-2,-2.364110947E-2,8.329820633E-2,1.289112334E-1
7.113776190E-1,1.074018478E-1,-1.637613773E-2,9.537553787E-2,1.445677282E-1
7.195841580E-1,1.194238663E-1,5.310654640E-3,8.816337585E-2,1.485363381E-1
7.278268500E-1,1.265649796E-1,9.958148003E-3,7.621002197E-2,1.480737188E-1
7.360339650E-1,1.049165726E-1,9.904742241E-3,7.392501831E-2,1.287264520E-1
7.442425420E-1,1.048312187E-1,2.185499668E-2,6.205177307E-2,1.237644854E-1
7.524542730E-1,1.023058891E-1,-6.882786751E-3,5.981779099E-2,1.187098809E-1
7.606617730E-1,8.767318726E-2,-7.019042969E-3,6.729269028E-2,1.107436720E-1
7.689043880E-1,7.563400269E-2,-6.925106049E-3,6.979322433E-2,1.031482119E-1
7.771117730E-1,9.487533569E-2,-9.251117706E-3,5.773210526E-2,1.114446431E-1
7.853180420E-1,6.140136719E-2,-6.646156311E-3,6.011962891E-2,8.618972715E-2
7.935306570E-1,9.036779404E-2,-8.883595467E-3,7.184028625E-2,1.157855051E-1
8.017372340E-1,1.049156189E-1,-1.356542110E-2,8.361482620E-2,1.348434162E-1
8.099809270E-1,8.359479904E-2,-6.148338318E-3,1.121244431E-1,1.399920827E-1
8.181864270E-1,9.358215332E-2,2.268469334E-2,1.236171722E-1,1.566953095E-1
8.263935040E-1,7.945775986E-2,1.193284988E-3,1.233377457E-1,1.467213653E-1
8.346051570E-1,8.432722092E-2,-1.329267025E-2,1.136350632E-1,1.421291766E-1
8.428115420E-1,6.284332275E-2,-3.747105598E-3,9.918308258E-2,1.174759885E-1
8.510526190E-1,6.766700745E-2,1.068484783E-2,1.135220528E-1,1.325905213E-1
8.592591570E-1,8.190584183E-2,8.203148842E-3,8.253097534E-2,1.165642332E-1
8.674649260E-1,6.971931458E-2,-8.684277534E-3,7.079267502E-2,9.973867022E-2
8.756978110E-1,5.525302887E-2,-1.446962357E-3,9.008312225E-2,1.056880306E-1
8.839053880E-1,8.159923553E-2,1.130104065E-3,7.096052170E-2,1.081439227E-1
8.921480420E-1,7.918834686E-2,3.834009171E-3,8.302450180E-2,1.147979172E-1
9.003553110E-1,8.874082565E-2,2.569830418E-2,7.115745544E-2,1.166135517E-1
9.085616950E-1,1.054315567E-1,1.387012005E-2,9.042835236E-2,1.395904018E-1
9.167717720E-1,8.357524872E-2,1.389610767E-2,5.968523026E-2,1.036351809E-1
9.249797720E-1,6.166124344E-2,2.817666531E-2,5.532264709E-2,8.750216393E-2
9.332222340E-1,3.974628448E-2,2.148509026E-3,2.950763702E-2,4.954880285E-2
9.414301570E-1,1.182770729E-1,7.508397102E-3,3.980255127E-2,1.250203387E-1
9.496376570E-1,1.346378326E-1,1.786661148E-2,1.194810867E-1,1.808930399E-1
9.578600800E-1,1.036973000E-1,3.268218040E-2,8.584308624E-2,1.385290236E-1
9.660658490E-1,9.695243835E-2,4.729688168E-2,9.734058380E-2,1.452995512E-1
9.743067340E-1,3.979682922E-3,5.970489979E-2,8.258819580E-2,1.019868767E-1
9.825131950E-1,1.024837494E-1,5.074095726E-2,6.555795670E-2,1.318158159E-1
9.907204260E-1,6.467247009E-2,-8.576512337E-3,7.944726944E-2,1.028005524E-1
9.989326950E-1,1.012783051E-1,3.895521164E-3,9.308719635E-2,1.376143026E-1
1.007139657E0,7.989788055E-2,-5.067348480E-3,1.049985886E-1,1.320380738E-1
1.015382464E0,3.196287155E-2,-1.641750336E-2,1.315445900E-1,1.363639935E-1
1.023588887E0,1.990318298E-2,-2.777409554E-2,1.341924667E-1,1.384743847E-1
1.031796964E0,5.105829239E-2,-3.680276871E-2,1.654090881E-1,1.769789802E-1
1.040012233E0,7.975435257E-2,-2.675616741E-2,1.679563522E-1,1.878456428E-1
1.048220849E0,8.443975449E-2,-3.589594364E-2,1.921281815E-1,2.129127263E-1
1.056462426E0,7.217359543E-2,-2.144539356E-2,1.901135445E-1,2.044800542E-1
1.064668656E0,6.906509399E-2,-2.855563164E-2,9.283971786E-2,1.191831554E-1
1.072875195E0,8.510494232E-2,-2.144253254E-2,2.666234970E-2,9.172521082E-2
1.081083772E0,1.036100388E-1,-1.879811287E-2,3.569126129E-3,1.053619848E-1
1.089291387E0,8.590269089E-2,-2.089226246E-2,4.549741745E-2,9.942722930E-2
1.097532964E0,1.210241318E-1,-6.616842747E-2,8.721780777E-2,1.631932819E-1
1.105738426E0,1.368966103E-1,-8.497166634E-2,1.099309921E-1,1.950530415E-1
1.113943964E0,1.432576180E-1,-7.239282131E-2,1.326246262E-1,2.082132492E-1
1.122177156E0,1.185884476E-1,-2.651774883E-2,1.192407608E-1,1.702491408E-1
1.130382964E0,1.176905632E-1,-2.883970737E-2,6.289291382E-2,1.365222180E-1
