"event","experiment time","system time","system time text"
"START",0.000000000E0,1781009909.996,"2026-06-09 14:58:29.996 UTC+02:00"
"PAUSE",1.233171474E2,1781010033.313,"2026-06-09 15:00:33.313 UTC+02:00"
