"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048964.874,"2026-06-10 01:49:24.874 UTC+02:00"
"PAUSE",6.984146745E1,1781049034.715,"2026-06-10 01:50:34.715 UTC+02:00"
