"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048176.305,"2026-06-10 01:36:16.305 UTC+02:00"
"PAUSE",6.495781484E1,1781048241.263,"2026-06-10 01:37:21.263 UTC+02:00"
