"event","experiment time","system time","system time text"
"START",0.000000000E0,1781046902.445,"2026-06-10 01:15:02.445 UTC+02:00"
"PAUSE",6.318691361E1,1781046965.632,"2026-06-10 01:16:05.632 UTC+02:00"
