"event","experiment time","system time","system time text"
"START",0.000000000E0,1781045617.347,"2026-06-10 00:53:37.347 UTC+02:00"
"PAUSE",5.680624173E1,1781045674.153,"2026-06-10 00:54:34.153 UTC+02:00"
