"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.158058890E-1,-2.321096897E0,1.818768024E0,-1.240861416E-1,2.951407343E0
5.240146960E-1,-1.704470634E0,1.825053692E0,8.409059048E-2,2.498622090E0
5.322355810E-1,-1.490153790E0,1.904404640E0,9.084049463E-1,2.583121154E0
5.404441960E-1,-1.239696026E0,2.107569218E0,1.705011845E0,2.980899132E0
5.486560810E-1,-1.056839943E0,2.314181805E0,2.091732025E0,3.293583300E0
5.568624270E-1,-8.237829208E-1,2.389069557E0,2.333097219E0,3.439420632E0
5.651205810E-1,-6.404280663E-1,2.407595158E0,1.953261375E0,3.165737284E0
5.733277350E-1,-4.918055534E-1,2.372684002E0,1.374499083E0,2.785812234E0
5.815352350E-1,-4.717469215E-1,2.108876705E0,1.020988464E0,2.390046769E0
5.897493500E-1,-2.016701698E-1,1.896482468E0,8.672823906E-1,2.095112253E0
5.979586960E-1,-2.558970451E-1,1.813225269E0,6.932501793E-1,1.958025788E0
6.062199650E-1,-4.028501511E-1,1.841432095E0,6.688153744E-1,2.000118599E0
6.144415810E-1,-5.380330086E-1,1.776563168E0,5.041565895E-1,1.923494235E0
6.226492340E-1,-8.644890785E-1,1.638105392E0,8.952331543E-2,1.854385361E0
6.309053110E-1,-9.888916016E-1,1.512136459E0,-1.427631378E-1,1.812414021E0
6.391132730E-1,-1.551370144E0,1.592312336E0,-2.160511017E-1,2.233581424E0
6.473218500E-1,-2.022994518E0,1.550767899E0,-1.374800205E-1,2.552702226E0
6.555428110E-1,-2.589040279E0,1.545109272E0,-7.974314690E-2,3.016098672E0
6.637506570E-1,-3.057702780E0,1.524218559E0,-9.736394882E-2,3.417933329E0
6.719709650E-1,-3.277850866E0,1.414566040E0,-3.582897186E-1,3.587990371E0
6.801787340E-1,-3.561608791E0,1.221145153E0,-5.055997372E-1,3.798931924E0
6.883878880E-1,-3.575362682E0,1.099279881E0,-6.472895145E-1,3.796132016E0
6.966101960E-1,-3.528487682E0,1.086877823E0,-6.346354485E-1,3.746236896E0
7.048175800E-1,-3.393607855E0,9.681968689E-1,-3.066015244E-1,3.542313361E0
7.130366960E-1,-3.483836174E0,9.389491081E-1,-4.868693352E-1,3.640849031E0
7.212454260E-1,-3.436158895E0,7.581081390E-1,-5.485460758E-1,3.561294526E0
7.294736960E-1,-3.627336979E0,6.030883789E-1,-4.928455353E-1,3.710011573E0
7.376967340E-1,-3.549839973E0,4.422659874E-1,-3.941240311E-1,3.598929951E0
7.459083110E-1,-3.443713427E0,3.160586357E-1,-3.444242477E-1,3.475296144E0
7.541190800E-1,-3.502904177E0,2.195334435E-1,-4.922573566E-1,3.544128935E0
7.623283880E-1,-3.648856163E0,6.310844421E-2,-5.662693977E-1,3.693073924E0
7.705603110E-1,-3.504760504E0,-1.462669373E-1,-6.063468456E-1,3.559830994E0
7.788019260E-1,-3.596038342E0,-2.880744934E-1,-5.240762234E-1,3.645426526E0
7.870111570E-1,-3.675915718E0,-3.724617958E-1,-5.296862125E-1,3.732512778E0
7.952205030E-1,-3.487558603E0,-5.241756439E-1,-5.905470848E-1,3.575831508E0
8.034285800E-1,-3.596412659E0,-6.093816757E-1,-6.575551033E-1,3.706468501E0
8.116908880E-1,-3.762244940E0,-6.738305092E-1,-8.529832363E-1,3.916135205E0
8.199300800E-1,-3.674985409E0,-7.834033966E-1,-8.099558353E-1,3.843860962E0
8.281380800E-1,-3.555784702E0,-9.117097855E-1,-7.805411816E-1,3.752874114E0
8.363473870E-1,-3.381079912E0,-1.003247738E0,-6.017551422E-1,3.577753017E0
8.445574640E-1,-2.957170010E0,-1.081306458E0,-9.924364090E-2,3.150226567E0
8.527988490E-1,-2.831144810E0,-1.037935257E0,4.531128407E-1,3.049262497E0
8.610405800E-1,-2.482556820E0,-9.572086334E-1,6.671764851E-1,2.743075135E0
8.692490410E-1,-2.063292027E0,-9.974985123E-1,8.931832314E-1,2.459665334E0
8.774643100E-1,-1.573366642E0,-1.071583748E0,1.156043053E0,2.227152859E0
8.856735030E-1,-8.839435577E-1,-1.033437252E0,1.407250881E0,1.956962905E0
8.939034260E-1,-2.523455620E-1,-9.504637718E-1,1.501358271E0,1.794752440E0
9.021122330E-1,7.848358154E-2,-8.642401695E-1,1.543652773E0,1.770857032E0
