"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048495.588,"2026-06-10 01:41:35.588 UTC+02:00"
"PAUSE",6.124858703E1,1781048556.837,"2026-06-10 01:42:36.837 UTC+02:00"
