"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047135.150,"2026-06-10 01:18:55.150 UTC+02:00"
"PAUSE",6.508902622E1,1781047200.239,"2026-06-10 01:20:00.239 UTC+02:00"
