"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.094085300E-2,-1.958045959E-1,-2.203040123E-1,-4.525113106E-2,2.981961812E-1
2.915189100E-2,-1.149678230E-1,-2.052707672E-1,-1.270580292E-2,2.356164800E-1
3.736316000E-2,6.082153320E-2,-8.889150620E-2,1.085190773E-1,1.528965301E-1
4.559343000E-2,1.174163818E-2,1.306533813E-4,1.234561205E-1,1.240132929E-1
5.381254500E-2,-3.443050385E-2,6.616830826E-2,6.541943550E-2,9.921394637E-2
6.202427600E-2,-8.860111237E-3,1.359939575E-3,4.022431374E-2,4.121099880E-2
7.023566000E-2,1.382160187E-2,-7.069778442E-2,4.014170170E-2,8.246556624E-2
7.844735300E-2,-3.934431076E-2,-1.180963516E-1,-7.346868515E-4,1.244799696E-1
8.667023700E-2,-4.093313217E-2,-1.513991356E-1,-3.692364693E-2,1.611228577E-1
9.488069900E-2,-7.860183716E-3,-1.216626167E-1,-1.129341125E-1,1.661857051E-1
1.031025060E-1,1.479291916E-2,-1.508145332E-1,-2.731275558E-2,1.539800004E-1
1.113122370E-1,1.304130554E-1,-1.539049149E-1,-9.682893753E-3,2.019605067E-1
1.195234680E-1,1.802105904E-1,-1.314640045E-1,-5.780029297E-2,2.304333206E-1
1.277534680E-1,2.442088127E-1,-1.134858131E-1,3.048002720E-2,2.710092361E-1
1.359705830E-1,2.939605713E-1,-5.344772339E-2,1.482418776E-1,3.335343024E-1
1.441816980E-1,3.324675560E-1,1.245927811E-2,2.025080919E-1,3.894861188E-1
1.523915060E-1,3.520946503E-1,6.031179428E-2,2.382332087E-1,4.293753800E-1
1.606030060E-1,2.755727768E-1,5.125999451E-3,2.010163069E-1,3.411366102E-1
1.688253140E-1,2.247118950E-1,-5.070781708E-2,1.463038921E-1,2.728947550E-1
1.770360440E-1,1.694679260E-1,-6.710529327E-2,1.060121059E-1,2.108579260E-1
1.852445830E-1,4.717111588E-2,-2.699327469E-2,5.294048786E-2,7.587124822E-2
1.934525060E-1,2.883815765E-2,-2.469730377E-2,1.542960405E-1,1.588989121E-1
2.016621210E-1,1.027121544E-1,1.295042038E-2,2.529985905E-1,2.733601778E-1
2.098916210E-1,-1.936292648E-2,-4.944705963E-2,2.419500351E-1,2.477090110E-1
2.181081600E-1,-1.235961914E-3,-4.314899445E-3,2.104493380E-1,2.104971967E-1
2.263193520E-1,1.254949570E-1,6.742477417E-4,1.478465796E-1,1.939279503E-1
2.345299290E-1,1.236095428E-1,-5.899715424E-2,1.568803787E-1,2.082581007E-1
2.427395440E-1,1.316070557E-4,-1.830592155E-1,2.562760115E-1,3.149414037E-1
2.509640060E-1,-4.650402069E-2,-2.329392433E-1,2.412320375E-1,3.385501602E-1
2.591750060E-1,3.557348251E-2,-2.895398140E-1,1.780191660E-1,3.417449341E-1
2.674102750E-1,3.297662735E-2,-2.797307968E-1,1.919633150E-1,3.408616889E-1
2.756199670E-1,-1.276636124E-2,-2.423491478E-1,3.187272549E-1,4.006034853E-1
2.838298900E-1,1.929235458E-2,-1.582374573E-1,4.267265797E-1,4.555292105E-1
2.920606590E-1,1.596760750E-1,-1.273202896E-2,3.517870903E-1,3.865394034E-1
3.002798520E-1,3.806400299E-1,1.023697853E-1,1.935305595E-1,4.391132915E-1
3.084925820E-1,5.876474380E-1,3.365383148E-1,1.542007923E-1,6.945253294E-1
3.167048900E-1,8.384132385E-1,6.424479485E-1,2.371842861E-1,1.082558317E0
3.249154290E-1,1.038658142E0,8.909749985E-1,2.284121513E-1,1.387378569E0
3.331393520E-1,1.257449150E0,1.165712357E0,7.953858376E-2,1.716505185E0
3.413512360E-1,1.468285084E0,1.428108215E0,-1.482219696E-1,2.053612406E0
3.495742750E-1,1.774480343E0,1.577324390E0,-4.789259434E-1,2.422003877E0
3.577866980E-1,1.903306007E0,1.622934818E0,-7.525453568E-1,2.612052009E0
3.659988900E-1,1.246050358E0,1.976970196E0,-7.979676723E-1,2.469373413E0
3.742323130E-1,6.240601540E-1,2.633112907E0,-6.449193954E-1,2.781843936E0
3.824540440E-1,-2.105870247E-1,2.912917137E0,-3.980295658E-1,2.947517715E0
3.906680820E-1,-1.157904148E0,3.076913357E0,-1.377375126E-1,3.290457330E0
3.988794670E-1,-1.287015438E0,3.067834377E0,1.098480225E-1,3.328675877E0
4.070893510E-1,-1.619044304E0,2.565679550E0,-1.738572121E-2,3.033861941E0
4.153105440E-1,-1.980092525E0,2.373803616E0,-1.964695454E-1,3.097468369E0
4.235196200E-1,-2.510608673E0,2.312702656E0,-4.704968929E-1,3.445738935E0
4.317303510E-1,-2.439738750E0,2.094365120E0,-8.658939600E-1,3.329934350E0
4.399403130E-1,-2.284917355E0,2.019624710E0,-1.019466996E0,3.215438422E0
4.481505050E-1,-1.761273384E0,1.436858654E0,-7.491390705E-1,2.393293979E0
4.563795430E-1,-1.338160038E0,5.414633751E-1,1.255393028E-1,1.449004828E0
4.645953900E-1,-1.840118885E0,9.560580254E-1,7.160482407E-1,2.193811647E0
4.728018130E-1,-1.633478642E0,1.522065163E0,1.799577713E0,2.867649696E0
4.810095820E-1,-1.102568150E0,2.498200417E0,2.714715242E0,3.850498759E0
4.892206590E-1,-5.682191849E-1,3.738384247E0,3.292327881E0,5.013762329E0
4.974440050E-1,-4.178729057E-1,5.215325832E0,3.178578854E0,6.121895526E0
5.056525430E-1,-6.239762306E-1,6.570128441E0,2.507786274E0,7.060093913E0
5.138869660E-1,-6.495466232E-1,6.931691647E0,1.311350346E0,7.084483018E0
