"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047030.376,"2026-06-10 01:17:10.376 UTC+02:00"
"PAUSE",6.605800472E1,1781047096.434,"2026-06-10 01:18:16.434 UTC+02:00"
