"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.214428850E-1,-5.497787148E-2,-6.841690838E-2,-4.581489414E-2,9.900729382E-2
1.237036930E-1,-5.803219974E-2,-7.391469181E-2,-5.436700583E-2,1.085674408E-1
1.256755390E-1,-5.986479297E-2,-7.452555746E-2,-5.925392732E-2,1.124672399E-1
1.277453080E-1,-6.414084882E-2,-7.696902007E-2,-6.475171447E-2,1.192940194E-1
1.295756920E-1,-7.269296050E-2,-8.796459436E-2,-7.391469181E-2,1.359610901E-1
1.317967310E-1,-7.880161703E-2,-8.979719132E-2,-7.757988572E-2,1.424495317E-1
1.336423080E-1,-8.307767659E-2,-9.651670605E-2,-8.307767659E-2,1.520502392E-1
1.359188080E-1,-9.224065393E-2,-1.136209369E-1,-9.101892263E-2,1.723441319E-1
1.378258080E-1,-9.834930301E-2,-1.325577646E-1,-9.651670605E-2,1.912057032E-1
1.399584620E-1,-1.001819000E-1,-1.484402567E-1,-9.957103431E-2,2.049031814E-1
1.418698850E-1,-1.014036313E-1,-1.808161139E-1,-1.026253626E-1,2.313204023E-1
1.441745000E-1,-9.957103431E-2,-2.107485086E-1,-1.099557430E-1,2.577199840E-1
1.462320770E-1,-1.014036313E-1,-2.266310006E-1,-1.270599663E-1,2.789059733E-1
1.481251930E-1,-1.014036313E-1,-2.351831198E-1,-1.350012124E-1,2.895153253E-1
1.500275000E-1,-1.026253626E-1,-2.461786866E-1,-1.533271819E-1,3.076444953E-1
1.523085390E-1,-1.026253626E-1,-2.528982162E-1,-1.740965992E-1,3.237268890E-1
1.540805000E-1,-1.032362282E-1,-2.541199327E-1,-1.869247705E-1,3.319269932E-1
1.563000390E-1,-1.007927656E-1,-2.583959997E-1,-2.058615834E-1,3.454079700E-1
1.583353850E-1,-9.590584040E-2,-2.657263875E-1,-2.309070677E-1,3.648650670E-1
1.604310390E-1,-9.285151958E-2,-2.712241709E-1,-2.492330223E-1,3.798697869E-1
1.622272690E-1,-8.857546002E-2,-2.755002379E-1,-2.565633953E-1,3.867438028E-1
1.644985770E-1,-7.696902007E-2,-2.846632004E-1,-2.742784917E-1,4.027233029E-1
1.664957700E-1,-6.230825558E-2,-2.883284092E-1,-2.846632004E-1,4.099374683E-1
1.685660770E-1,-5.192354694E-2,-2.919935882E-1,-2.926044464E-1,4.166217377E-1
1.703884620E-1,-3.726277873E-2,-3.005456924E-1,-3.017674387E-1,4.275275605E-1
1.726189230E-1,-1.649336144E-2,-3.029891551E-1,-3.048217595E-1,4.301055267E-1
1.744626920E-1,-7.330383174E-3,-3.005456924E-1,-3.060434759E-1,4.290035628E-1
1.767419620E-1,1.221730467E-2,-3.017674387E-1,-3.042109013E-1,4.286690122E-1
1.787127310E-1,2.626720630E-2,-2.907718420E-1,-2.944370508E-1,4.146461228E-1
1.807830000E-1,3.359758854E-2,-2.773328125E-1,-2.864958048E-1,4.001526372E-1
1.826882310E-1,3.787364438E-2,-2.693915665E-1,-2.822197378E-1,3.919875118E-1
1.849999620E-1,4.214970022E-2,-2.461786866E-1,-2.748893499E-1,3.714090705E-1
1.870558850E-1,4.520402849E-2,-2.229658216E-1,-2.700024247E-1,3.530700655E-1
1.889515390E-1,4.214970022E-2,-2.034181207E-1,-2.651155293E-1,3.368111829E-1
1.908408460E-1,4.092797264E-2,-1.936442852E-1,-2.620611787E-1,3.284041253E-1
1.931346540E-1,3.237585723E-2,-1.765400618E-1,-2.565633953E-1,3.131123845E-1
1.949089230E-1,2.382374369E-2,-1.667662114E-1,-2.504547536E-1,3.018379096E-1
1.971268460E-1,1.954768784E-2,-1.624901593E-1,-2.467895597E-1,2.961253970E-1
1.990202690E-1,9.773843922E-3,-1.533271819E-1,-2.339613885E-1,2.798976314E-1
2.012971920E-1,-6.108652451E-4,-1.459967941E-1,-2.223549485E-1,2.660021808E-1
2.031555770E-1,-1.099557430E-2,-1.404990107E-1,-2.095267773E-1,2.525120691E-1
2.054003850E-1,-2.076941915E-2,-1.423316002E-1,-2.034181207E-1,2.491356759E-1
2.073956540E-1,-3.237585723E-2,-1.380555481E-1,-1.973094791E-1,2.429785197E-1
2.094653460E-1,-3.848451003E-2,-1.191187203E-1,-2.040289938E-1,2.393703352E-1
2.113009230E-1,-4.153883830E-2,-1.154535338E-1,-2.168571651E-1,2.491626449E-1
2.135181160E-1,-5.131268129E-2,-1.185078546E-1,-2.657263875E-1,2.954447764E-1
2.153596150E-1,-5.375614017E-2,-1.172861308E-1,-2.974913716E-1,3.242635892E-1
2.176414620E-1,-5.253441259E-2,-1.148426682E-1,-3.298672438E-1,3.532153754E-1
2.196083850E-1,-5.009094998E-2,-1.148426682E-1,-3.481931984E-1,3.700492469E-1
2.216806540E-1,-4.398229718E-2,-1.099557430E-1,-3.817907870E-1,3.997360540E-1
2.236361540E-1,-3.665191308E-2,-1.075122803E-1,-4.166100919E-1,4.318173478E-1
2.258971540E-1,-2.748893574E-2,-1.111774743E-1,-4.532620013E-1,4.675066996E-1
2.279372310E-1,-2.260201424E-2,-1.160643995E-1,-4.691445231E-1,4.838164729E-1
2.298482690E-1,-1.343903504E-2,-1.313360333E-1,-5.015203953E-1,5.186062747E-1
2.317480000E-1,-1.099557430E-2,-1.527163088E-1,-5.271766782E-1,5.489612224E-1
2.340328460E-1,-7.330383174E-3,-1.808161139E-1,-5.607742667E-1,5.892503541E-1
2.358265380E-1,-7.330383174E-3,-1.985312104E-1,-5.797111392E-1,6.128077847E-1
2.380248080E-1,-7.941247895E-3,-2.492330223E-1,-6.267477274E-1,6.745315979E-1
2.399428460E-1,-1.649336144E-2,-3.029891551E-1,-6.719517708E-1,7.372880314E-1
2.421959230E-1,-1.649336144E-2,-3.316998184E-1,-6.969972253E-1,7.720763774E-1
2.440202310E-1,-2.076941915E-2,-3.933972120E-1,-7.470881939E-1,8.445907320E-1
2.462992310E-1,-1.527163107E-2,-4.563163519E-1,-8.173376918E-1,9.362151132E-1
2.482997690E-1,-1.832595654E-2,-5.180137157E-1,-8.906415105E-1,1.030493256E0
2.503953080E-1,-1.954768784E-2,-5.491678715E-1,-9.279043078E-1,1.078412661E0
2.522215770E-1,-2.076941915E-2,-6.059783101E-1,-1.003040791E0,1.172063099E0
2.544478080E-1,-1.832595654E-2,-6.548475623E-1,-1.075122833E0,1.258987799E0
2.562935380E-1,-8.552113548E-3,-6.841690540E-1,-1.115439892E0,1.308574257E0
2.585696540E-1,-3.054326167E-3,-7.373143435E-1,-1.194852471E0,1.404034970E0
2.604180380E-1,2.138028294E-2,-7.800748944E-1,-1.279151797E0,1.498400240E0
2.626110770E-1,4.581489414E-2,-8.179485798E-1,-1.369559884E0,1.595880058E0
2.646258460E-1,4.825835302E-2,-8.405506015E-1,-1.413542151E0,1.645282832E0
2.668261920E-1,9.101892263E-2,-8.692612648E-1,-1.506393671E0,1.741585910E0
2.688862310E-1,1.350012124E-1,-8.857545853E-1,-1.598023534E0,1.832065972E0
2.707718850E-1,1.783726513E-1,-8.973610401E-1,-1.689042449E0,1.920921142E0
2.726708460E-1,2.064724565E-1,-9.034696817E-1,-1.739133358E0,1.970652983E0
2.749554610E-1,2.626720667E-1,-9.071348906E-1,-1.841758728E0,2.069774272E0
2.767375770E-1,3.097086847E-1,-9.230173826E-1,-1.943773150E0,2.173967483E0
2.789466920E-1,3.378084898E-1,-9.334021211E-1,-1.995696783E0,2.228936909E0
2.808451920E-1,3.775147200E-1,-9.505063295E-1,-2.099543810E0,2.335393726E0
2.831175000E-1,4.001167417E-1,-9.786061049E-1,-2.205223560E0,2.445562158E0
2.849387310E-1,4.117231667E-1,-1.016479731E0,-2.313957453E0,2.560692504E0
2.872191540E-1,4.227187634E-1,-1.018312335E0,-2.367102861E0,2.611288402E0
2.891688850E-1,4.251621962E-1,-1.026864529E0,-2.469728231E0,2.708278270E0
2.912576920E-1,4.269948006E-1,-1.026253581E0,-2.560747147E0,2.791585020E0
2.930928460E-1,4.257730842E-1,-1.023199320E0,-2.604729414E0,2.830695124E0
2.953099610E-1,4.245513380E-1,-1.017090678E0,-2.687807083E0,2.904999863E0
2.971573460E-1,4.245513380E-1,-1.001208186E0,-2.762943506E0,2.969262280E0
2.994322310E-1,4.141666293E-1,-1.001208186E0,-2.827084303E0,3.027599294E0
3.012836920E-1,4.068362415E-1,-1.007927656E0,-2.853351593E0,3.053366863E0
3.034713840E-1,3.885102868E-1,-1.026253581E0,-2.888781786E0,3.090177481E0
3.054363460E-1,3.714060783E-1,-1.050688267E0,-2.905275106E0,3.111673465E0
3.076864610E-1,3.219259977E-1,-1.073901057E0,-2.915659904E0,3.123775361E0
3.097044610E-1,3.274237812E-1,-1.074512005E0,-2.915048838E0,3.123986573E0
3.116568070E-1,2.755002379E-1,-1.085507512E0,-2.904053450E0,3.112515603E0
3.136496540E-1,2.461786866E-1,-1.090394497E0,-2.884505749E0,3.093531561E0
3.158388840E-1,2.211332172E-1,-1.083674908E0,-2.860682011E0,3.067043001E0
3.176267690E-1,1.991420686E-1,-1.076344609E0,-2.848464727E0,3.051544950E0
3.198296150E-1,1.649336219E-1,-1.059851170E0,-2.813034534E0,3.010589792E0
3.217228460E-1,1.123992056E-1,-1.043357849E0,-2.779436827E0,2.970942318E0
3.240000000E-1,9.957103431E-2,-1.034805775E0,-2.762332678E0,2.951477461E0
3.258215380E-1,4.764748737E-2,-1.023199320E0,-2.743395805E0,2.928383116E0
3.281021540E-1,0.000000000E0,-1.003040791E0,-2.742174149E0,2.919864704E0
3.300840380E-1,-6.536258012E-2,-9.706648588E-1,-2.773328304E0,2.939015553E0
3.321646920E-1,-7.330382615E-2,-9.492846131E-1,-2.794097662E0,2.951863220E0
3.339898080E-1,-1.117883399E-1,-9.004153609E-1,-2.846632004E0,2.987734630E0
3.362165770E-1,-9.651670605E-2,-8.167268038E-1,-2.900999069E0,3.015319841E0
3.382044230E-1,-9.773843735E-2,-7.635815740E-1,-2.929098845E0,3.028568913E0
3.403394610E-1,-5.192354694E-2,-6.334672570E-1,-2.979800701E0,3.046832624E0
3.421798850E-1,-9.773843922E-3,-5.002986193E-1,-3.025615454E0,3.066715362E0
3.443785380E-1,5.375614017E-2,-3.555235863E-1,-3.064710855E0,3.085731578E0
3.464135770E-1,9.407325089E-2,-2.895501256E-1,-3.079982519E0,3.094992952E0
3.485936530E-1,1.734857261E-1,-1.600466967E-1,-3.120299578E0,3.129214230E0
3.506500000E-1,2.559525371E-1,-4.276056588E-2,-3.155729771E0,3.166381302E0
3.525626530E-1,3.353650272E-1,4.398229718E-2,-3.185662270E0,3.203568048E0
3.545201920E-1,3.787364662E-1,8.124507964E-2,-3.205209970E0,3.228531095E0
3.567446530E-1,4.532620013E-1,1.295034289E-1,-3.238196611E0,3.272328662E0
3.585588080E-1,5.424483418E-1,1.765400618E-1,-3.267518282E0,3.316940204E0
3.607360000E-1,5.962044597E-1,1.991420686E-1,-3.283400774E0,3.343028263E0
3.626341150E-1,6.817256212E-1,2.131919712E-1,-3.309667826E0,3.385867947E0
3.649061150E-1,7.599163651E-1,1.991420686E-1,-3.338378668E0,3.429563030E0
3.667402310E-1,8.423831463E-1,1.685988009E-1,-3.364645720E0,3.472589198E0
3.690083070E-1,8.869763613E-1,1.435533315E-1,-3.378084898E0,3.495538900E0
3.709819610E-1,9.578366876E-1,7.147123665E-2,-3.401297569E0,3.534315268E0
3.730701530E-1,1.037249207E0,-1.710422710E-2,-3.422677994E0,3.576437211E0
3.749315000E-1,1.075733662E0,-6.352998316E-2,-3.431840897E0,3.597050307E0
3.771238460E-1,1.139874578E0,-1.771509200E-1,-3.455664635E0,3.643118797E0
3.790306540E-1,1.191187263E0,-2.974913716E-1,-3.478877544E0,3.689175678E0
3.812470380E-1,1.257160664E0,-4.117231667E-1,-3.504534006E0,3.745894753E0
3.831006920E-1,1.279151797E0,-4.654793143E-1,-3.520416498E0,3.774418185E0
3.852861920E-1,1.337184072E0,-5.699372888E-1,-3.558900833E0,3.844302914E0
3.872750380E-1,1.391551018E0,-6.737843752E-1,-3.603494167E0,3.921169447E0
3.895014230E-1,1.437976837E0,-7.556403279E-1,-3.649308920E0,3.994524413E0
3.915430000E-1,1.459357023E0,-7.880161405E-1,-3.673132658E0,4.030210402E0
3.934724610E-1,1.515556693E0,-8.405506015E-1,-3.718336821E0,4.102373230E0
