"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.961940510E-1,3.735022545E-1,-9.537887573E-1,2.725111246E-1,1.059943037E0
5.044021670E-1,3.398060799E-1,-9.997506142E-1,2.373237610E-1,1.082262459E0
5.126423590E-1,3.461723328E-1,-1.044474602E0,1.973303556E-1,1.117900598E0
5.208502440E-1,2.094225883E-1,-1.079206944E0,4.759150743E-2,1.100368302E0
5.290580900E-1,8.591127396E-2,-7.456917763E-1,3.431659937E-2,7.514084117E-1
5.372788200E-1,-1.820363998E-1,-4.603724480E-1,7.329159975E-2,5.004514965E-1
5.454898590E-1,-5.086245537E-1,-2.513966560E-1,1.146858931E-1,5.788368245E-1
5.537402820E-1,-5.606245995E-1,-2.367873192E-1,2.813347578E-1,6.704606044E-1
5.619496280E-1,-3.426551819E-3,-3.562965393E-1,5.786970258E-1,6.795948888E-1
5.701600510E-1,3.664879799E-1,-7.732300758E-1,9.098057151E-1,1.248977433E0
5.783873590E-1,4.799704552E-1,-1.034666538E0,1.201536775E0,1.656682560E0
5.865982820E-1,1.513242722E-2,-1.100918770E0,9.762575626E-1,1.471506017E0
5.948381280E-1,-4.194955826E-1,-8.704442978E-1,5.118533373E-1,1.093454918E0
6.030479360E-1,-9.328312874E-1,-7.444891930E-1,9.731766582E-2,1.197459434E0
6.112969360E-1,-6.479506493E-1,-9.571757317E-1,-2.959972620E-2,1.156244597E0
6.195175510E-1,-9.516205788E-1,-9.639425278E-1,3.613165021E-2,1.355017498E0
6.277278590E-1,-7.048768997E-1,-8.291792870E-1,1.327269673E-1,1.096360425E0
6.359763970E-1,-2.719922066E-1,-9.359560013E-1,1.675305963E-1,9.889691084E-1
6.441853580E-1,2.786540985E-2,-8.657116890E-1,1.373267770E-1,8.769788214E-1
6.523947050E-1,3.831863403E-3,-4.202413559E-1,4.741857648E-1,6.336163034E-1
6.606123970E-1,-2.079205513E-1,-1.381683350E-1,3.901388943E-1,4.631736190E-1
6.688213970E-1,-3.668818474E-1,8.663845062E-2,5.457940102E-1,6.633246661E-1
6.770612040E-1,-4.418368340E-1,4.974269867E-2,5.420132279E-1,7.010509705E-1
6.852692430E-1,5.744037628E-1,-2.737779617E-1,5.535843968E-1,8.434155201E-1
6.934774740E-1,7.883677483E-1,-6.546235085E-1,6.604995131E-1,1.219145295E0
7.016982430E-1,7.691564560E-1,-8.295855522E-1,8.248828650E-1,1.400087706E0
7.099072040E-1,1.844506264E-1,-1.376805305E0,1.240214705E0,1.862188873E0
7.181418970E-1,-2.356295586E-1,-2.660504341E0,1.645258307E0,3.136985741E0
7.263515500E-1,-1.735863686E-1,-3.324224472E0,1.702788353E0,3.738995686E0
7.345620120E-1,5.227999687E-1,-4.335519314E0,1.570973516E0,4.640905657E0
7.428147810E-1,4.923071861E-1,-5.335277081E0,9.874614477E-1,5.448176576E0
7.510239350E-1,-2.837600708E-1,-6.179084778E0,1.858244836E-1,6.188387448E0
7.592503580E-1,-1.064170837E0,-6.477702141E0,-6.238887310E-1,6.594112658E0
7.674607810E-1,-1.266751528E0,-6.622044563E0,-1.233653665E0,6.854052451E0
7.756716660E-1,-1.517786980E0,-6.980972290E0,-1.163661957E0,7.238215290E0
7.839106660E-1,-1.682132721E0,-7.334038258E0,-1.084510803E0,7.602226735E0
7.921200120E-1,-1.871057153E0,-7.285987854E0,-8.614796400E-1,7.571566618E0
8.003549730E-1,-2.334890842E0,-7.662614346E0,-7.673516273E-1,8.047123857E0
8.085650890E-1,-2.561969042E0,-7.646123886E0,-5.514951348E-1,8.082762073E0
8.167744730E-1,-2.577504158E0,-7.837696075E0,1.804076433E-1,8.252608943E0
8.250170500E-1,-2.577162266E0,-8.157534599E0,5.537188053E-1,8.572849036E0
8.332257420E-1,-2.754134893E0,-7.635841370E0,8.908473253E-1,8.166084826E0
8.414484730E-1,-3.040023804E0,-6.117594242E0,1.546694994E0,7.004210837E0
8.496560500E-1,9.180603027E-1,4.212400436E0,3.060585856E-1,4.322131883E0
8.579056650E-1,7.824859142E0,1.624104500E1,-5.826690674E0,1.894598341E1
8.661442420E-1,5.743950844E0,2.501125336E1,-1.318927956E1,2.885329896E1
8.743540880E-1,-3.925969601E0,2.431678772E1,-1.384379101E1,2.825544110E1
8.825891650E-1,-1.307140160E1,2.329764748E1,-1.253908730E1,2.951051724E1
8.908002420E-1,-1.704075813E1,2.001759720E1,-7.535522461E0,2.734731676E1
8.990112420E-1,-1.461735058E1,1.361755657E1,-7.265781760E-1,1.999081541E1
9.072606270E-1,-1.044348240E1,6.560832977E0,6.142245770E0,1.377817249E1
9.154695880E-1,-7.625045776E0,5.025339127E-1,1.729195786E1,1.890517574E1
9.236930880E-1,-4.667310238E0,-2.412960052E0,1.638341713E1,1.720530494E1
9.318999730E-1,-3.960992813E0,-3.266418457E0,1.007055473E1,1.130376160E1
9.401079340E-1,-3.331598997E0,-3.298031330E0,5.206736565E0,7.006187850E0
