"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048766.105,"2026-06-10 01:46:06.105 UTC+02:00"
"PAUSE",6.056787842E1,1781048826.673,"2026-06-10 01:47:06.673 UTC+02:00"
