"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047623.348,"2026-06-10 01:27:03.348 UTC+02:00"
"PAUSE",6.511054299E1,1781047688.459,"2026-06-10 01:28:08.459 UTC+02:00"
