"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048857.051,"2026-06-10 01:47:37.051 UTC+02:00"
"PAUSE",6.562582030E1,1781048922.677,"2026-06-10 01:48:42.677 UTC+02:00"
