"event","experiment time","system time","system time text"
"START",0.000000000E0,1781045552.680,"2026-06-10 00:52:32.680 UTC+02:00"
"PAUSE",4.257459397E1,1781045595.255,"2026-06-10 00:53:15.255 UTC+02:00"
