"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047722.679,"2026-06-10 01:28:42.679 UTC+02:00"
"PAUSE",6.550904634E1,1781047788.188,"2026-06-10 01:29:48.188 UTC+02:00"
