"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.787122970E-1,1.686553955E-1,-1.326947212E-1,-9.494028091E-1,9.733541110E-1
5.869236430E-1,-8.459248543E-1,-5.036783218E-1,-1.113552213E0,1.486364438E0
5.951514120E-1,-1.340222836E0,-2.972335815E-1,-1.521926045E0,2.049586285E0
6.033686430E-1,-1.221443653E0,2.166385651E-1,-2.031526327E0,2.380326886E0
6.115781040E-1,-1.429316759E0,3.827962875E-1,-2.504078388E0,2.908588656E0
6.197870270E-1,-5.994582176E-1,4.089722633E-1,-2.457251072E0,2.562165353E0
6.279954120E-1,8.919553757E-1,6.179056168E-1,-3.345745564E0,3.517300829E0
6.362138740E-1,1.293191433E0,9.104433060E-1,-3.948765755E0,4.253704513E0
6.444231810E-1,1.075300217E0,1.207962036E0,-3.980197906E0,4.296209749E0
6.526333350E-1,1.829092503E0,1.372747421E0,-4.277191162E0,4.850193718E0
6.608422970E-1,1.374139309E0,1.099322319E0,-4.476476192E0,4.809948805E0
6.690534500E-1,2.657279491E0,-3.769855499E-1,-4.138835907E0,4.932870875E0
6.772801810E-1,4.082535744E0,-3.194633007E0,-3.624585152E0,6.325377117E0
6.854953730E-1,2.787280798E0,-4.348845482E0,-2.838008165E0,5.893698467E0
6.937042960E-1,1.666461229E0,-5.594611168E0,-2.427516937E0,6.322151978E0
7.019114120E-1,1.252437115E0,-6.754910469E0,-1.821234703E0,7.107341980E0
7.101178730E-1,1.703892708E0,-7.742146492E0,-1.749457121E0,8.118169922E0
7.183337580E-1,1.862138987E0,-8.559264183E0,-1.664869785E0,8.916297234E0
7.265416810E-1,1.483323336E0,-9.124414444E0,-8.756465316E-1,9.285577199E0
7.347760270E-1,-5.351985693E-1,-9.527298927E0,1.436221600E-2,9.542330356E0
7.429828350E-1,-2.027177095E0,-9.731404305E0,3.456728458E-1,9.946314213E0
7.511904120E-1,-2.610295296E0,-9.668080330E0,-2.646825910E-1,1.001775802E1
7.594164120E-1,-2.167459249E0,-9.637553215E0,-2.214058042E-1,9.880755644E0
7.676339120E-1,-6.995865107E-1,-5.074147701E0,-7.734540105E-1,5.180214985E0
7.758409880E-1,2.883537292E0,4.111461639E-1,-3.144431591E0,4.286172945E0
7.840481810E-1,4.132562637E0,4.144802094E0,-3.334167957E0,6.736032535E0
7.922553340E-1,2.509548664E0,7.773251534E0,-2.518724203E0,8.547821097E0
8.004717960E-1,-4.185364723E0,1.209956264E1,-6.714247227E0,1.445675655E1
8.086791420E-1,-1.378737068E1,1.536807919E1,-1.188717461E1,2.382381935E1
8.168863730E-1,-1.885551453E1,1.655500603E1,-1.208709717E1,2.785132978E1
8.250928730E-1,-1.775146484E1,1.498064137E1,-8.394103050E0,2.469807859E1
8.333013340E-1,-1.305676556E1,1.055497169E1,-3.676944256E0,1.718739286E1
8.415342190E-1,-8.377008438E0,5.464306831E0,-5.048831105E-1,1.001438098E1
8.497520270E-1,-4.580594540E0,1.636641502E0,1.566857815E0,5.110331218E0
8.579599500E-1,-2.098423719E0,-8.146867752E-1,2.467275858E0,3.339842333E0
8.661690650E-1,-8.875324726E-1,-2.165550232E0,2.531331062E0,3.447456837E0
8.743801800E-1,-1.293103695E-1,-3.046124458E0,2.573683500E0,3.989917561E0
8.826001030E-1,2.839319706E-1,-3.450839520E0,2.631527424E0,4.349005327E0
8.908115260E-1,7.184424400E-1,-3.508114338E0,2.602776051E0,4.426902858E0
8.990212570E-1,8.972542286E-1,-3.386842728E0,2.464982033E0,4.283912375E0
9.072304110E-1,1.013365626E0,-3.209483624E0,2.363671541E0,4.112740957E0
9.154382960E-1,1.092384338E0,-2.965708733E0,2.404520750E0,3.971202824E0
9.236625650E-1,1.199017167E0,-2.657426357E0,2.806864023E0,4.046979448E0
9.318771420E-1,1.086934566E0,-2.283893108E0,3.401321650E0,4.238700679E0
9.400851800E-1,8.213315010E-1,-1.669307232E0,3.660216808E0,4.105893222E0
9.482914490E-1,6.374670267E-1,-1.109927177E0,3.168579817E0,3.417338234E0
9.564979490E-1,6.622213125E-1,-5.236740112E-1,2.476230621E0,2.616197551E0
9.647163720E-1,6.312292814E-1,-1.083641052E-1,1.787790298E0,1.899049061E0
9.729249110E-1,5.669908524E-1,1.387872696E-1,1.412980556E0,1.528808224E0
9.811589880E-1,5.667369366E-1,3.346614838E-1,1.276744843E0,1.436407483E0
9.893671800E-1,5.374310017E-1,4.122972488E-1,1.205458403E0,1.382733186E0
9.975741030E-1,5.168004036E-1,5.125370026E-1,9.881351590E-1,1.227268483E0
1.005799334E0,4.151437283E-1,5.152721405E-1,9.004793763E-1,1.117458188E0
1.014015987E0,3.085596561E-1,5.796375275E-1,8.532937765E-1,1.076707478E0
1.022225411E0,2.396156788E-1,7.234678268E-1,8.519929647E-1,1.143115647E0
1.030435680E0,1.604335308E-1,9.893341064E-1,8.116852045E-1,1.289710728E0
1.038646718E0,1.657001972E-1,1.354457855E0,9.312825203E-1,1.652059251E0
1.046866526E0,1.979753971E-1,1.779774666E0,1.176032066E0,2.142392014E0
1.055077641E0,6.136550903E-1,1.967184067E0,2.559939384E0,3.286285954E0
1.063288833E0,1.136899590E0,2.046844482E0,4.742561340E0,5.289045385E0
1.071499603E0,1.138148427E0,2.055994034E0,6.127671242E0,6.562838422E0
1.079710833E0,7.133352757E-1,2.064034462E0,6.105484962E0,6.484291180E0
1.087939449E0,4.606072903E-1,2.336542130E0,4.877141953E0,5.427531835E0
1.096159103E0,7.369294167E-1,2.665677071E0,3.559230328E0,4.507440486E0
1.104370795E0,8.768572807E-1,2.860444069E0,2.678056002E0,4.015345927E0
1.112581026E0,1.105400801E0,2.981700897E0,2.849564791E0,4.269949727E0
1.120791910E0,8.562368155E-1,3.409420967E0,3.860013247E0,5.220823218E0
1.129017756E0,5.736120939E-1,4.230418205E0,5.558279991E0,7.008562298E0
1.137228525E0,7.021596432E-1,4.918142319E0,6.283464432E0,8.010185847E0
1.145439525E0,3.665969372E-1,5.735513687E0,7.068694115E0,9.110266026E0
1.153649256E0,-6.210637093E-2,6.864267349E0,1.352233529E0,6.996467606E0
1.161859218E0,-1.123702765E0,7.356009483E0,-5.084707260E0,9.012648409E0
1.170086064E0,-9.079942703E-1,6.283881187E0,-5.330414295E0,8.290050237E0
1.178304064E0,-2.908749580E-1,5.822139740E0,-1.808635235E0,6.103530192E0
1.186514141E0,1.279904962E0,5.919758797E0,3.007200241E0,6.762022938E0
1.194723871E0,1.776680231E0,5.645532608E0,3.387042046E0,6.819141067E0
1.202934141E0,1.381136656E0,4.837491035E0,1.238656282E0,5.181035357E0
1.211155179E0,1.492988229E0,4.150155067E0,-6.292641163E-1,4.455196322E0
1.219367679E0,1.363072038E0,4.033804893E0,-2.027047634E0,4.715768168E0
1.227603871E0,1.215414166E0,4.546507835E0,-2.144941092E0,5.171918153E0
1.235816256E0,5.790240765E-1,5.219794273E0,-1.877423525E0,5.577296857E0
1.244027833E0,4.688649178E-1,5.890809059E0,-1.532739758E0,6.104978038E0
1.252257640E0,-9.221163988E-1,6.286785126E0,-9.822399020E-1,6.429522618E0
1.260476217E0,-3.365524292E0,6.459791183E0,-1.004149675E0,7.352820715E0
1.268688487E0,-7.944307804E0,6.609430313E0,-1.039530039E0,1.038639583E1
1.276899410E0,-1.346813965E1,6.852935791E0,-4.839122295E-1,1.511911656E1
1.285108948E0,-1.455459118E1,5.692620277E0,-6.299685240E-1,1.564093700E1
1.293328410E0,-1.096153927E1,2.842940331E0,-2.177741528E0,1.153170460E1
1.301539333E0,-6.079487801E0,6.009988785E-1,-3.587840080E0,7.084770145E0
1.309749833E0,-2.888776779E0,-2.934637070E-1,-3.651369572E0,4.665152942E0
1.317959025E0,-1.018213511E0,2.871761322E-1,-4.054121017E0,4.189883782E0
1.326168640E0,1.358485222E-1,2.379961014E-1,-3.726179600E0,3.736242949E0
1.334393755E0,6.840449572E-1,1.172008514E-1,-2.991552114E0,3.070999446E0
1.342611525E0,1.263160944E0,-4.121284485E-1,-3.283337831E0,3.541995588E0
1.350820486E0,1.891480923E0,-1.139210701E0,-3.820538282E0,4.412710490E0
1.359028063E0,2.173486471E0,-1.825445652E0,-4.625669479E0,5.427072268E0
1.367236140E0,2.225906372E0,-2.379636765E0,-4.928182125E0,5.907986913E0
1.375453948E0,2.133409023E0,-3.135560513E0,-5.462121010E0,6.649657113E0
1.383663101E0,1.981429338E0,-3.815875053E0,-6.020559788E0,7.398250118E0
1.391864909E0,1.438067079E0,-4.282175064E0,-6.369793892E0,7.808926586E0
1.400074755E0,1.139939666E0,-4.670262337E0,-6.680313110E0,8.230273142E0
1.408283871E0,9.347194433E-1,-5.070058823E0,-6.903017044E0,8.615732193E0
1.416507217E0,7.719245553E-1,-5.287178516E0,-7.252517223E0,9.008281204E0
1.424724332E0,5.136328340E-1,-5.302078724E0,-7.007898331E0,8.802641450E0
1.432934101E0,-2.281391621E-2,-5.330276489E0,-6.569896698E0,8.460254757E0
1.441143024E0,-8.666733503E-1,-5.456953049E0,-6.017628670E0,8.169535732E0
1.449351640E0,-1.536960244E0,-5.627668858E0,-5.580149651E0,8.072854123E0
1.457569255E0,-2.073937416E0,-5.763277054E0,-5.646839142E0,8.330868568E0
1.465779717E0,-2.460933924E0,-6.014595509E0,-5.548991203E0,8.545341320E0
1.474015947E0,-2.579631090E0,-6.387616634E0,-5.479820251E0,8.802532182E0
1.482226678E0,-2.634532928E0,-6.556947708E0,-5.531899929E0,8.974198784E0
1.490437524E0,-2.634528637E0,-6.773433685E0,-5.443917274E0,9.080549560E0
1.498664870E0,-2.379380703E0,-6.993352890E0,-4.979827404E0,8.908822489E0
1.506882716E0,-2.072401047E0,-7.185928345E0,-4.402514458E0,8.678395348E0
1.515093601E0,-1.543038487E0,-7.363246918E0,-3.723571777E0,8.394245632E0
1.523305601E0,-1.171051979E0,-7.534860611E0,-2.990417004E0,8.190731409E0
1.531518678E0,-9.016058445E-1,-7.625801086E0,-2.100925922E0,7.961132146E0
1.539738524E0,-7.670981884E-1,-7.746075630E0,-9.920682907E-1,7.846931043E0
1.547947216E0,-7.601882219E-1,-7.113402367E0,1.539900303E0,7.317764160E0
1.556156870E0,8.226242661E-1,-4.811526299E0,6.599901676E0,8.208909680E0
1.564366370E0,1.802051306E0,-7.881689072E-1,1.290378761E1,1.305282858E1
1.572576562E0,2.817244768E0,5.707942009E0,1.892746735E1,1.996913844E1
1.580804062E0,3.986158371E0,8.027753830E0,1.679817200E1,1.903977081E1
1.589021255E0,4.235086918E0,8.495494843E0,9.963825226E0,1.376180246E1
1.597230639E0,2.463913202E0,8.125747681E0,2.529067516E0,8.859730591E0
1.605439793E0,5.668027401E-1,8.838874817E0,-1.452365398E0,8.975318302E0
1.613648947E0,-1.136386395E-1,9.242409706E0,-2.389007568E0,9.546853308E0
1.621867024E0,6.547145844E-1,8.040901184E0,-9.869165421E-1,8.127653247E0
1.630077831E0,2.026569366E0,5.523478508E0,4.981784821E-1,5.904572806E0
1.638288447E0,2.778848648E0,2.236516953E0,1.745846272E0,3.971396114E0
1.646499254E0,2.226462841E0,-8.806195259E-1,2.210587502E0,3.258730525E0
1.654708524E0,7.817783356E-1,-3.262845993E0,1.412648201E0,3.640455504E0
1.662934485E0,-9.454898834E-1,-4.558368206E0,2.245631218E-1,4.660804696E0
1.671152754E0,-2.367275476E0,-4.462592125E0,-3.271906376E-1,5.062190768E0
1.679363793E0,-3.311636686E0,-3.289490223E0,5.178155899E-1,4.696362045E0
1.687573677E0,-4.082889557E0,-1.137139797E0,2.366578341E0,4.854252475E0
1.695783254E0,-5.990185261E0,1.921226501E0,5.781798840E0,8.544157568E0
1.704001908E0,-1.187381649E1,9.040652275E0,1.197127247E1,1.913197000E1
1.712211446E0,-1.512327766E1,1.929877090E1,1.232922173E1,2.744386624E1
1.720447754E0,-8.940385818E0,1.940918350E1,7.364937782E0,2.260285848E1
1.728657754E0,-4.035005093E0,1.299410725E1,-3.781683445E0,1.412194105E1
1.736866869E0,-6.460691452E0,5.635713577E0,-1.236614227E1,1.504736775E1
1.745092292E0,-4.543537140E0,4.996871948E-2,-1.270489311E1,1.349298098E1
1.753307562E0,-1.687478304E0,-3.416879654E0,-9.984644890E0,1.068717845E1
1.761515100E0,-4.119157791E-3,-5.457667351E0,-8.017309189E0,9.698628589E0
1.769722792E0,1.073779941E0,-6.743277550E0,-6.616526604E0,9.508060779E0
1.777930254E0,1.823737502E0,-7.480566025E0,-5.747302055E0,9.608140686E0
1.786147331E0,2.298805237E0,-7.866009712E0,-5.024162292E0,9.612534580E0
1.794356715E0,2.719997883E0,-7.842823029E0,-4.551067829E0,9.466809385E0
1.802566715E0,3.426036835E0,-7.393720627E0,-4.146483898E0,9.143203039E0
1.810777215E0,4.096775055E0,-6.496934891E0,-4.169888496E0,8.739662402E0
1.818985484E0,4.840691566E0,-4.925621986E0,-4.751193523E0,8.382594270E0
