"event","experiment time","system time","system time text"
"START",0.000000000E0,1781048323.786,"2026-06-10 01:38:43.786 UTC+02:00"
"PAUSE",6.727407022E1,1781048391.060,"2026-06-10 01:39:51.060 UTC+02:00"
