"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.764500000E-3,2.504547499E-2,4.153883830E-2,0.000000000E0,4.850516369E-2
7.995626000E-3,2.443460934E-2,4.153883830E-2,0.000000000E0,4.819258471E-2
9.964038000E-3,2.015855350E-2,3.359758854E-2,2.443460980E-3,3.925730169E-2
1.209835700E-2,1.588249579E-2,2.809980139E-2,6.108652451E-4,3.228352005E-2
1.402111500E-2,1.527163107E-2,2.015855350E-2,6.108652451E-4,2.529749298E-2
1.620235700E-2,1.221730467E-2,1.771509275E-2,6.108652451E-4,2.152812581E-2
1.834543400E-2,6.719517522E-3,9.162978269E-3,3.054326167E-3,1.176609514E-2
2.026620300E-2,-6.108652451E-4,4.886921961E-3,3.665191587E-3,6.139119804E-3
2.216726900E-2,-1.832595794E-3,2.443460980E-3,3.054326167E-3,4.319469556E-3
2.437785700E-2,-6.719517522E-3,-6.108652451E-4,3.054326167E-3,7.406347305E-3
2.622050000E-2,-1.404990070E-2,-1.832595794E-3,5.497787148E-3,1.519815056E-2
2.843847200E-2,-1.954768784E-2,-1.832595794E-3,4.886921961E-3,2.023246188E-2
3.042542300E-2,-1.771509275E-2,-5.497787148E-3,5.497787148E-3,1.934620992E-2
3.254066500E-2,-2.138028294E-2,-2.443460980E-3,8.552113548E-3,2.315654651E-2
3.478861500E-2,-2.015855350E-2,-3.665191587E-3,7.941247895E-3,2.197417408E-2
3.660470300E-2,-2.260201424E-2,-3.054326167E-3,8.552113548E-3,2.435813216E-2
3.866651100E-2,-2.382374369E-2,-3.054326167E-3,7.941247895E-3,2.529749177E-2
4.062866500E-2,-2.015855350E-2,-3.054326167E-3,9.773843922E-3,2.261026785E-2
4.248438400E-2,-1.893682219E-2,-4.886921961E-3,7.941247895E-3,2.110802357E-2
4.473901100E-2,-2.015855350E-2,-7.941247895E-3,1.282817032E-2,2.517921069E-2
4.658480700E-2,-1.404990070E-2,-6.108652335E-3,9.162978269E-3,1.785148491E-2
4.879904900E-2,-1.221730467E-2,-4.886921961E-3,1.038470957E-2,1.676265888E-2
5.069561500E-2,-8.552113548E-3,-4.886921961E-3,7.941247895E-3,1.265243338E-2
5.290062600E-2,-5.497787148E-3,-3.665191587E-3,6.108652335E-3,8.998606905E-3
5.482738400E-2,-3.665191587E-3,-1.832595794E-3,6.719517522E-3,7.870448045E-3
5.700270300E-2,-1.221730490E-3,-6.108652451E-4,5.497787148E-3,5.664931179E-3
5.914539500E-2,-1.832595794E-3,-1.221730490E-3,3.665191587E-3,4.276056840E-3
6.104551100E-2,-6.108652451E-4,3.054326167E-3,4.886921961E-3,5.795176523E-3
6.289757700E-2,-4.276056774E-3,6.108652451E-4,5.497787148E-3,6.991672290E-3
6.515554900E-2,-2.443460980E-3,-2.443460980E-3,1.832595794E-3,3.911446084E-3
6.699250000E-2,-1.221730490E-3,1.221730490E-3,3.054326167E-3,3.509153618E-3
6.921428000E-2,0.000000000E0,-4.886921961E-3,3.665191587E-3,6.108652521E-3
7.111250000E-2,2.443460980E-3,-8.552113548E-3,1.221730490E-3,8.977849024E-3
7.331531800E-2,2.443460980E-3,-9.162978269E-3,-6.108652451E-4,9.502832666E-3
7.522857700E-2,4.276056774E-3,-9.162978269E-3,0.000000000E0,1.011161868E-2
7.741689500E-2,3.054326167E-3,-1.527163107E-2,-2.443460980E-3,1.576458453E-2
7.951389500E-2,6.719517522E-3,-1.466076635E-2,6.108652451E-4,1.613887053E-2
8.147328000E-2,3.054326167E-3,-1.527163107E-2,6.108652451E-4,1.558604441E-2
8.338500000E-2,4.886921961E-3,-1.771509275E-2,0.000000000E0,1.837679290E-2
8.558401100E-2,1.221730490E-3,-1.832595654E-2,-6.108652451E-4,1.837679147E-2
8.744884600E-2,1.221730490E-3,-1.771509275E-2,-1.221730490E-3,1.779915059E-2
8.964466400E-2,-3.054326167E-3,-1.771509275E-2,0.000000000E0,1.797646849E-2
9.154603800E-2,-3.665191587E-3,-2.015855350E-2,1.832595794E-3,2.057083654E-2
9.374770300E-2,-9.162978269E-3,-1.954768784E-2,3.665191587E-3,2.189762316E-2
9.569403800E-2,-9.773843922E-3,-2.138028294E-2,3.054326167E-3,2.370597882E-2
9.785131800E-2,-1.282817032E-2,-2.015855350E-2,3.665191587E-3,2.417359845E-2
1.000099340E-1,-1.710422710E-2,-2.015855350E-2,4.276056774E-3,2.678071181E-2
1.019111640E-1,-1.649336144E-2,-1.954768784E-2,4.276056774E-3,2.593121157E-2
1.037740000E-1,-2.076941915E-2,-2.015855350E-2,4.276056774E-3,2.925783164E-2
1.060276260E-1,-2.138028294E-2,-2.015855350E-2,6.108652335E-3,3.001332056E-2
1.078554610E-1,-2.321287990E-2,-2.076941915E-2,5.497787148E-3,3.162960999E-2
1.100835490E-1,-2.321287990E-2,-2.138028294E-2,5.497787148E-3,3.203404369E-2
1.119943460E-1,-2.504547499E-2,-2.260201424E-2,3.054326167E-3,3.387411658E-2
