"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.231969070E-1,-7.086037099E-2,-1.356120855E-1,-1.747074574E-1,2.322380795E-1
1.251179450E-1,-7.635815442E-2,-1.350012124E-1,-1.777617931E-1,2.359134379E-1
1.271873680E-1,-7.757988572E-2,-1.350012124E-1,-1.808161139E-1,2.386177551E-1
1.292222910E-1,-8.307767659E-2,-1.362229437E-1,-1.838704348E-1,2.434479975E-1
1.313567530E-1,-8.246681094E-2,-1.325577646E-1,-1.869247705E-1,2.435430264E-1
1.333263300E-1,-8.246681094E-2,-1.319468915E-1,-1.875356287E-1,2.436808756E-1
1.354577910E-1,-8.246681094E-2,-1.343903542E-1,-1.924225539E-1,2.487729516E-1
1.374578080E-1,-7.941248268E-2,-1.350012124E-1,-1.948660165E-1,2.500088681E-1
1.395140220E-1,-7.330382615E-2,-1.368338168E-1,-2.003637999E-1,2.534612331E-1
1.412729230E-1,-7.024950534E-2,-1.380555481E-1,-1.979203373E-1,2.513300366E-1
1.435645600E-1,-6.475171447E-2,-1.380555481E-1,-1.991420686E-1,2.508180264E-1
1.453379620E-1,-5.619960278E-2,-1.374446750E-1,-1.960877478E-1,2.459671500E-1
1.476857910E-1,-4.398229718E-2,-1.362229437E-1,-1.942551434E-1,2.413010435E-1
1.494467310E-1,-3.726277873E-2,-1.350012124E-1,-1.912008226E-1,2.370054779E-1
1.517242140E-1,-2.932153270E-2,-1.325577646E-1,-1.905899495E-1,2.339996626E-1
1.537590990E-1,-1.527163107E-2,-1.301143020E-1,-1.826487035E-1,2.247743384E-1
1.559404450E-1,-2.443460980E-3,-1.252273768E-1,-1.783726513E-1,2.179556587E-1
1.578050000E-1,4.886921961E-3,-1.246165112E-1,-1.789835095E-1,2.181473207E-1
1.599491370E-1,1.893682219E-2,-1.215621829E-1,-1.722639948E-1,2.116857375E-1
1.618124230E-1,3.726277873E-2,-1.099557430E-1,-1.685988009E-1,2.047054854E-1
1.641667910E-1,5.131268129E-2,-1.050688252E-1,-1.661553532E-1,2.031749263E-1
1.658796920E-1,6.841690838E-2,-9.651670605E-2,-1.600466967E-1,1.990258602E-1
1.681577530E-1,8.857546002E-2,-8.857546002E-2,-1.588249654E-1,2.022785057E-1
1.699870000E-1,1.111774743E-1,-8.063421398E-2,-1.557706445E-1,2.076699327E-1
1.723304450E-1,1.240056455E-1,-7.574728876E-2,-1.539380401E-1,2.116883844E-1
1.740916920E-1,1.453859210E-1,-6.475171447E-2,-1.502728462E-1,2.188875941E-1
1.764324060E-1,1.685988009E-1,-5.192354694E-2,-1.484402567E-1,2.305561108E-1
1.783228850E-1,1.808161139E-1,-4.214970022E-2,-1.453859210E-1,2.358137619E-1
1.805394830E-1,2.064724565E-1,-2.687807009E-2,-1.447750628E-1,2.536003248E-1
1.823335000E-1,2.247984111E-1,-7.941247895E-3,-1.429424733E-1,2.665144269E-1
1.846260600E-1,2.480112910E-1,1.466076635E-2,-1.447750628E-1,2.875488782E-1
1.866131760E-1,2.565633953E-1,2.626720630E-2,-1.472185254E-1,2.969647052E-1
1.887481370E-1,2.730567753E-1,4.764748737E-2,-1.514945775E-1,3.158811369E-1
1.907184830E-1,2.871066630E-1,7.757988572E-2,-1.551597714E-1,3.354451211E-1
1.927870600E-1,3.048217595E-1,1.038470939E-1,-1.618792862E-1,3.604239549E-1
1.946116150E-1,3.127630055E-1,1.191187203E-1,-1.637118906E-1,3.725742211E-1
1.970023680E-1,3.292563558E-1,1.459967941E-1,-1.685988009E-1,3.976812384E-1
1.988165390E-1,3.475823104E-1,1.753183305E-1,-1.692096740E-1,4.244783779E-1
2.010042530E-1,3.616322279E-1,2.101376504E-1,-1.740965992E-1,4.530400934E-1
2.028790770E-1,3.683517575E-1,2.260201424E-1,-1.753183305E-1,4.663739262E-1
2.052221370E-1,3.830125034E-1,2.565633953E-1,-1.789835095E-1,4.945285131E-1
2.069715000E-1,3.976732790E-1,2.919935882E-1,-1.832595766E-1,5.262968410E-1
2.092134830E-1,4.050036669E-1,3.084869385E-1,-1.850921661E-1,5.417114281E-1
2.110293460E-1,4.233296216E-1,3.390302062E-1,-1.930334121E-1,5.756833743E-1
2.133837140E-1,4.386012554E-1,3.707951903E-1,-2.003637999E-1,6.082810097E-1
2.151375380E-1,4.532620013E-1,4.019493461E-1,-2.089159191E-1,6.408241411E-1
2.174846370E-1,4.581489265E-1,4.129449129E-1,-2.125810981E-1,6.523914954E-1
2.193813850E-1,4.776966274E-1,4.434881806E-1,-2.186897546E-1,6.875325759E-1
2.215907910E-1,4.905247986E-1,4.752531648E-1,-2.272418737E-1,7.198048471E-1
2.233882690E-1,5.045747161E-1,5.051855445E-1,-2.333505303E-1,7.511727820E-1
2.256762910E-1,5.112941861E-1,5.192354321E-1,-2.345722616E-1,7.655398910E-1
2.274584620E-1,5.247332454E-1,5.485569835E-1,-2.425135076E-1,7.969143896E-1
2.297986370E-1,5.393940210E-1,5.791002512E-1,-2.461786866E-1,8.287985018E-1
2.315615000E-1,5.497786999E-1,5.931501389E-1,-2.504547536E-1,8.466470869E-1
2.338383680E-1,5.638286471E-1,6.194173694E-1,-2.559525371E-1,8.758380684E-1
2.356665380E-1,5.784893632E-1,6.432411075E-1,-2.614503205E-1,9.037507044E-1
2.380534060E-1,5.968153477E-1,6.713408828E-1,-2.657263875E-1,9.367484471E-1
2.399168460E-1,6.004805565E-1,6.805039048E-1,-2.693915665E-1,9.466965086E-1
2.420628290E-1,6.169738770E-1,7.073819637E-1,-2.755002379E-1,9.782363664E-1
2.439283460E-1,6.340781450E-1,7.330383062E-1,-2.736676335E-1,1.007121753E0
2.462800600E-1,6.456845403E-1,7.586946487E-1,-2.724458873E-1,1.032837285E0
2.480014620E-1,6.566801667E-1,7.672467232E-1,-2.730567753E-1,1.046162692E0
2.502711750E-1,6.750060916E-1,7.886270285E-1,-2.700024247E-1,1.072598305E0
2.521043850E-1,6.921103001E-1,8.075638413E-1,-2.693915665E-1,1.097154429E0
2.544441750E-1,7.128797174E-1,8.234463334E-1,-2.657263875E-1,1.121102970E0
2.561968850E-1,7.208209634E-1,8.313875794E-1,-2.638937831E-1,1.131560028E0
2.585467520E-1,7.434229851E-1,8.442157507E-1,-2.620611787E-1,1.155012567E0
2.604358850E-1,7.599163651E-1,8.576548100E-1,-2.565633953E-1,1.174252712E0
2.626542520E-1,7.794640660E-1,8.692612648E-1,-2.516764700E-1,1.194370304E0
2.644500000E-1,7.904596329E-1,8.759807348E-1,-2.486221492E-1,1.205811615E0
2.667414450E-1,8.069530129E-1,8.906415105E-1,-2.455678284E-1,1.226669892E0
2.685206920E-1,8.271115422E-1,9.004153609E-1,-2.449569702E-1,1.246942357E0
2.708642140E-1,8.332201838E-1,9.053022861E-1,-2.461786866E-1,1.254763743E0
2.728349830E-1,8.484918475E-1,9.205739498E-1,-2.467895597E-1,1.276048549E0
2.749045220E-1,8.625417352E-1,9.321803451E-1,-2.455678284E-1,1.293538557E0
2.769396540E-1,8.723155856E-1,9.443976879E-1,-2.449569702E-1,1.308749552E0
2.791211370E-1,8.833111525E-1,9.517280459E-1,-2.400700450E-1,1.320476615E0
2.809248080E-1,8.881980777E-1,9.645562172E-1,-2.388483137E-1,1.332783943E0
2.831247140E-1,8.979719281E-1,9.767735004E-1,-2.333505303E-1,1.347179470E0
2.849887310E-1,9.034696817E-1,9.859365225E-1,-2.296853364E-1,1.356865375E0
2.873439830E-1,9.114109278E-1,9.981538057E-1,-2.247984111E-1,1.370224516E0
2.890510770E-1,9.156870246E-1,1.010371089E0,-2.199114859E-1,1.381192791E0
2.913342910E-1,9.199630618E-1,1.023199320E0,-2.144137025E-1,1.392566738E0
2.933695980E-1,9.254608750E-1,1.025031924E0,-2.131919712E-1,1.397361476E0
2.954662910E-1,9.291260242E-1,1.031140566E0,-2.101376504E-1,1.403810481E0
2.971862690E-1,9.309586287E-1,1.034194827E0,-2.064724565E-1,1.406724488E0
2.995341370E-1,9.334021211E-1,1.032973170E0,-2.101376504E-1,1.407988254E0
3.014566920E-1,9.340129495E-1,1.029307961E0,-2.119702399E-1,1.405982380E0
3.036417520E-1,9.395107627E-1,1.020755768E0,-2.131919712E-1,1.403593113E0
3.056114440E-1,9.395107627E-1,1.005484223E0,-2.156354338E-1,1.392902594E0
3.077291370E-1,9.425650835E-1,9.859365225E-1,-2.211332172E-1,1.381810285E0
3.095004620E-1,9.462302923E-1,9.755517840E-1,-2.223549485E-1,1.377132809E0
3.118531750E-1,9.480628371E-1,9.468411207E-1,-2.272418737E-1,1.359032788E0
3.136844230E-1,9.523389339E-1,9.156870246E-1,-2.296853364E-1,1.340965147E0
3.158924830E-1,9.572258592E-1,8.998045325E-1,-2.327396572E-1,1.334202867E0
3.178320000E-1,9.584475756E-1,8.655960560E-1,-2.333505303E-1,1.312375997E0
3.201081370E-1,9.633345008E-1,8.265006542E-1,-2.321287990E-1,1.290348973E0
3.219632310E-1,9.706648588E-1,7.892379165E-1,-2.339613885E-1,1.272723335E0
3.241171370E-1,9.724974632E-1,7.721336484E-1,-2.339613885E-1,1.263597886E0
3.259691540E-1,9.749409556E-1,7.293730974E-1,-2.333505303E-1,1.239736848E0
3.283355600E-1,9.779952765E-1,6.933320761E-1,-2.321287990E-1,1.221092915E0
3.300558460E-1,9.816604257E-1,6.548475623E-1,-2.284636050E-1,1.201947644E0
3.323277520E-1,9.798278809E-1,6.371324658E-1,-2.260201424E-1,1.190414029E0
3.341555770E-1,9.786061049E-1,5.962044597E-1,-2.229658216E-1,1.167408850E0
3.365006370E-1,9.773843884E-1,5.552765131E-1,-2.193006277E-1,1.145296911E0
3.382702310E-1,9.767735004E-1,5.314527750E-1,-2.193006277E-1,1.133411350E0
3.406042140E-1,9.724974632E-1,4.813618064E-1,-2.156354338E-1,1.106326871E0
3.424883460E-1,9.633345008E-1,4.337143302E-1,-2.156354338E-1,1.078248636E0
3.447108670E-1,9.541715384E-1,3.738495409E-1,-2.113593817E-1,1.046364942E0
3.465136920E-1,9.480628371E-1,3.481931984E-1,-2.101376504E-1,1.031610139E0
3.487982140E-1,9.376781583E-1,2.883284092E-1,-2.064724565E-1,1.002499115E0
3.507822310E-1,9.236282706E-1,2.284636050E-1,-1.997529417E-1,9.722067881E-1
3.529222140E-1,9.108000994E-1,1.777617931E-1,-1.936442852E-1,9.479737261E-1
3.548920980E-1,9.046914577E-1,1.478293836E-1,-1.875356287E-1,9.356761044E-1
3.569622130E-1,8.894197941E-1,9.773843735E-2,-1.783726513E-1,9.123799510E-1
3.588497310E-1,8.778133392E-1,4.886921868E-2,-1.673770845E-1,8.949634336E-1
3.611786750E-1,8.655960560E-1,-2.443460980E-3,-1.545489132E-1,8.792882742E-1
3.629844610E-1,8.570439219E-1,-2.809980139E-2,-1.502728462E-1,8.705721172E-1
3.651819440E-1,8.399397135E-1,-7.391469181E-2,-1.343903542E-1,8.538283617E-1
3.670476920E-1,8.246681094E-1,-1.160643995E-1,-1.203404516E-1,8.414453398E-1
3.694012130E-1,8.057312369E-1,-1.514945775E-1,-1.062905490E-1,8.267110221E-1
3.711078460E-1,7.953465581E-1,-1.624901593E-1,-9.590584040E-2,8.174210234E-1
3.733940980E-1,7.764097452E-1,-1.814269722E-1,-8.063421398E-2,8.013923603E-1
3.752382310E-1,7.562511563E-1,-1.954768747E-1,-6.658431143E-2,7.839390860E-1
