"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.324726890E-1,5.332853794E-1,1.265712738E0,2.932153046E-1,1.404420609E0
1.343185770E-1,5.106833577E-1,1.247997642E0,2.883284092E-1,1.378923086E0
1.365783420E-1,4.911356568E-1,1.228450060E0,2.877175212E-1,1.353914752E0
1.384230380E-1,4.807509482E-1,1.213178396E0,2.877175212E-1,1.336302611E0
1.407454190E-1,4.642575979E-1,1.184467673E0,2.877175212E-1,1.304331307E0
1.427767300E-1,4.459316432E-1,1.155757070E0,2.901609838E-1,1.272329686E0
1.447519960E-1,4.306600094E-1,1.125213742E0,2.950479090E-1,1.240414156E0
1.466102300E-1,4.263839424E-1,1.111774802E0,2.981022298E-1,1.227481738E0
1.488682270E-1,4.141666293E-1,1.083674908E0,3.042109013E-1,1.199345478E0
1.506721920E-1,4.135557711E-1,1.055575132E0,3.023782969E-1,1.173328543E0
1.529248810E-1,4.153883755E-1,1.039692640E0,3.029891551E-1,1.159875302E0
1.547958840E-1,4.172209501E-1,1.006705880E0,3.042109013E-1,1.131403696E0
1.570306120E-1,4.312708676E-1,9.786061049E-1,3.029891551E-1,1.111515586E0
1.588817690E-1,4.422664344E-1,9.492846131E-1,3.005456924E-1,1.089526773E0
1.612450730E-1,4.593706727E-1,9.211847782E-1,2.981022298E-1,1.071665876E0
1.632181920E-1,4.636467099E-1,9.077457786E-1,2.895501256E-1,1.059627267E0
1.651974960E-1,4.862487316E-1,8.668177724E-1,2.755002379E-1,1.031363787E0
1.670542300E-1,5.082398653E-1,8.289441466E-1,2.583959997E-1,1.006093759E0
1.693154580E-1,5.192354321E-1,8.136724830E-1,2.553416789E-1,9.984326299E-1
1.711266150E-1,5.369505286E-1,7.770205736E-1,2.406809032E-1,9.746815578E-1
1.733724190E-1,5.577199459E-1,7.385360599E-1,2.339613885E-1,9.545810500E-1
1.752248070E-1,5.674937963E-1,7.238753438E-1,2.321287990E-1,9.486456143E-1
1.774773420E-1,5.821545720E-1,6.896668673E-1,2.333505303E-1,9.321999804E-1
1.793275760E-1,5.968153477E-1,6.536257863E-1,2.400700450E-1,9.170871574E-1
1.816448040E-1,6.114761233E-1,6.218608022E-1,2.455678284E-1,9.060449575E-1
1.836174580E-1,6.163630486E-1,6.072000265E-1,2.504547536E-1,9.007346243E-1
1.856202650E-1,6.279694438E-1,5.815436840E-1,2.626720667E-1,8.952850347E-1
1.874818840E-1,6.426302195E-1,5.552765131E-1,2.736676335E-1,8.923001617E-1
1.897381110E-1,6.536257863E-1,5.326744914E-1,2.834414840E-1,8.895548646E-1
1.915512300E-1,6.585127115E-1,5.302310586E-1,2.950479090E-1,8.954536478E-1
1.937953810E-1,6.676757336E-1,5.210680366E-1,3.121521473E-1,9.026304598E-1
1.955985760E-1,6.762278080E-1,5.161811113E-1,3.292563558E-1,9.122152903E-1
1.979001500E-1,6.792821288E-1,5.167919993E-1,3.414736688E-1,9.192945380E-1
1.997311530E-1,6.896668673E-1,5.290092826E-1,3.665191531E-1,9.433066831E-1
2.021131880E-1,6.927211881E-1,5.363397002E-1,3.915646076E-1,9.596070865E-1
2.039625380E-1,6.939429045E-1,5.534439087E-1,4.208861589E-1,9.823451906E-1
2.061190730E-1,6.957755089E-1,5.564982295E-1,4.349360466E-1,9.914450075E-1
2.080168840E-1,6.988298297E-1,5.748242140E-1,4.605923891E-1,1.015347899E0
2.102717650E-1,7.000515461E-1,5.858197808E-1,4.874704778E-1,1.034835470E0
2.121036530E-1,7.012733221E-1,5.925393105E-1,5.088507533E-1,1.049674328E0
2.143289960E-1,7.000515461E-1,5.949827433E-1,5.192354321E-1,1.055311360E0
2.161958070E-1,6.988298297E-1,5.986479521E-1,5.381723046E-1,1.066007472E0
2.184336500E-1,6.976081133E-1,6.029239893E-1,5.571091175E-1,1.077285935E0
2.202803070E-1,6.914994717E-1,6.035348773E-1,5.626068711E-1,1.076546496E0
2.226018040E-1,6.908885837E-1,6.053674817E-1,5.821545720E-1,1.087520468E0
2.245329610E-1,6.792821288E-1,6.084218025E-1,5.937610269E-1,1.088188153E0
2.266439190E-1,6.743952036E-1,6.139195561E-1,6.053674817E-1,1.094612214E0
2.285361150E-1,6.701191664E-1,6.163630486E-1,6.114761233E-1,1.096752549E0
2.307969190E-1,6.591235995E-1,6.249151230E-1,6.212499738E-1,1.100415540E0
2.327852270E-1,6.487388611E-1,6.352998614E-1,6.346889734E-1,1.107834878E0
2.348547270E-1,6.401867867E-1,6.438519955E-1,6.450737119E-1,1.113779425E0
2.368906500E-1,6.371324658E-1,6.475171447E-1,6.524040699E-1,1.118412850E0
2.389603040E-1,6.291912198E-1,6.542366743E-1,6.615670323E-1,1.123199962E0
2.408486920E-1,6.255260110E-1,6.585127115E-1,6.664539576E-1,1.126535689E0
2.431743030E-1,6.188064814E-1,6.627888083E-1,6.737843752E-1,1.129688386E0
2.451973800E-1,6.188064814E-1,6.658431292E-1,6.762278080E-1,1.132939796E0
2.471261880E-1,6.169738770E-1,6.670648456E-1,6.811147332E-1,1.135583354E0
2.489847690E-1,6.114761233E-1,6.762278080E-1,6.890559793E-1,1.142797112E0
2.512439190E-1,6.096435189E-1,6.823364496E-1,6.933320761E-1,1.148023353E0
2.530902300E-1,6.084218025E-1,6.921103001E-1,6.982190013E-1,1.156158956E0
2.553018030E-1,6.096435189E-1,6.982190013E-1,7.067710757E-1,1.165633024E0
2.573374960E-1,6.041457057E-1,7.043276429E-1,7.116580009E-1,1.169412918E0
2.593673800E-1,6.053674817E-1,7.061602473E-1,7.134906054E-1,1.172263164E0
2.612527300E-1,6.004805565E-1,7.092145681E-1,7.153232098E-1,1.172710321E0
2.635008030E-1,5.962044597E-1,7.202101350E-1,7.183775306E-1,1.179079587E0
