"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.116777000E-3,3.454098701E-1,-2.653198242E-1,-2.766722143E-1,5.159942845E-1
1.532670000E-2,4.473586082E-1,-3.046350479E-1,-2.889249921E-1,6.135225243E-1
2.353577700E-2,5.073900223E-1,-2.634115219E-1,-2.362385392E-1,6.185781373E-1
3.177635300E-2,6.089849472E-1,-2.309694290E-1,-1.111228615E-1,6.607252329E-1
3.998458400E-2,6.447119713E-1,-2.529230118E-1,1.071138680E-1,7.007831023E-1
4.822412300E-2,5.388669968E-1,-2.843036652E-1,6.311288476E-2,6.125271018E-1
5.646389200E-2,4.737720490E-1,-4.066867828E-1,-1.379980147E-1,6.394509721E-1
6.467143000E-2,4.187374115E-1,-5.651826859E-1,-1.410342455E-1,7.174002694E-1
7.291196900E-2,3.009757996E-1,-6.911134720E-1,-8.458821476E-2,7.585376913E-1
8.112054600E-2,2.374982834E-1,-7.651443481E-1,9.032280743E-2,8.062316774E-1
8.936119900E-2,2.636828423E-1,-8.492670059E-1,6.339959800E-2,8.915170204E-1
9.759073800E-2,2.792139053E-1,-9.675512314E-1,3.355038166E-2,1.007591891E0
1.058293920E-1,2.980556488E-1,-1.071914673E0,-1.309014857E-2,1.112658792E0
1.140706610E-1,3.532223701E-1,-1.090302467E0,6.695404649E-3,1.146110964E0
1.222798920E-1,4.251384735E-1,-1.060824394E0,7.291546464E-2,1.145167142E0
1.305213530E-1,4.702067375E-1,-9.808039665E-1,2.478974164E-1,1.115582326E0
1.387493910E-1,6.932606697E-1,-8.352980614E-1,4.994142056E-1,1.194883993E0
1.469564680E-1,7.946648598E-1,-5.594463348E-1,8.012419939E-1,1.259548004E0
1.551965070E-1,9.448390007E-1,-5.474987030E-1,8.510093689E-1,1.384446645E0
1.634035070E-1,1.079144955E0,-6.196241379E-1,5.451085567E-1,1.358540115E0
1.716248910E-1,1.121212482E0,-4.671134949E-1,4.064569473E-1,1.280827739E0
1.798323530E-1,1.387907028E0,-3.717346191E-1,2.894974649E-1,1.465701650E0
1.880416220E-1,1.683633804E0,-3.614168167E-1,5.721957982E-2,1.722939054E0
1.962493910E-1,1.962652206E0,-3.115520477E-1,-1.780774891E-1,1.995189203E0
2.044571990E-1,2.299355984E0,-2.605295181E-1,-1.819174886E-1,2.321208207E0
2.126667370E-1,2.441391468E0,-2.568922043E-1,-3.271020949E-2,2.455087751E0
2.208746220E-1,2.456893921E0,-6.937646866E-1,2.877998948E-1,2.569137201E0
2.290847760E-1,2.602391243E0,-9.416222572E-1,1.453661472E-1,2.771321702E0
2.373274680E-1,2.715478420E0,-8.821892738E-1,-3.882786632E-2,2.855448926E0
2.455396220E-1,2.738777161E0,-6.353454590E-1,-6.607469916E-2,2.812282001E0
