"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.835565000E-3,3.490695953E-1,3.064441681E-2,1.784750223E-1,3.932454657E-1
1.504456500E-2,3.574366570E-1,-4.753065109E-2,2.836199999E-1,4.587596657E-1
2.329583400E-2,3.792018890E-1,-5.589056015E-2,2.511872053E-1,4.582715783E-1
3.150314100E-2,3.766760826E-1,-1.048593521E-1,2.457809448E-1,4.618318176E-1
3.973033400E-2,3.932747841E-1,-1.224031448E-1,3.276414871E-1,5.263045979E-1
4.793760300E-2,3.717784882E-1,-1.827650070E-1,3.907352686E-1,5.694702294E-1
5.614602600E-2,2.762413025E-1,-2.666854858E-1,4.681962729E-1,6.055065280E-1
6.437864100E-2,2.615032196E-1,-2.731704712E-1,4.838076830E-1,6.140650734E-1
7.258583400E-2,2.871122360E-1,-2.694091797E-1,4.806243181E-1,6.213006336E-1
8.081787200E-2,3.002834320E-1,-2.624974251E-1,5.759322643E-1,7.005519330E-1
8.902360300E-2,3.422904015E-1,-2.551708221E-1,7.264859676E-1,8.426486389E-1
9.723191000E-2,3.817915916E-1,-2.306728363E-1,8.133013248E-1,9.275957211E-1
1.054759870E-1,4.185142517E-1,-2.034974098E-1,8.833383322E-1,9.984247512E-1
1.136854490E-1,5.032916069E-1,-1.503405571E-1,9.210872650E-1,1.060333190E0
1.219117950E-1,5.834126472E-1,-8.807134628E-2,9.726227522E-1,1.137594786E0
1.301200640E-1,6.354827881E-1,-5.550384521E-4,9.888244867E-1,1.175420158E0
1.383281030E-1,7.045221329E-1,-1.217746735E-2,9.538158178E-1,1.185860169E0
1.465634100E-1,6.518225670E-1,1.613235474E-2,9.212316275E-1,1.128627761E0
1.547703720E-1,7.165055275E-1,3.182411194E-2,8.411189318E-1,1.105384097E0
1.630044870E-1,8.239302635E-1,-9.905815125E-3,7.403682470E-1,1.107747420E0
1.712121790E-1,8.566708565E-1,-8.708763123E-2,6.029940844E-1,1.051223610E0
1.794252560E-1,6.768679619E-1,-7.756757736E-2,5.646482706E-1,8.848698415E-1
1.876686020E-1,4.965424538E-1,-9.028434753E-2,6.853379011E-1,8.511132184E-1
1.958756410E-1,4.132514000E-1,-1.726717949E-1,7.326560020E-1,8.587066354E-1
2.041016020E-1,2.902693748E-1,-1.333255768E-1,7.488033772E-1,8.140875365E-1
2.123076790E-1,2.200536728E-1,-1.439557076E-1,8.271890879E-1,8.679796379E-1
2.205137180E-1,9.902858734E-2,-2.014217377E-1,8.140175343E-1,8.443944123E-1
2.287437560E-1,1.552786827E-1,-1.533608437E-1,8.118424416E-1,8.406659072E-1
2.369497560E-1,3.007669449E-1,-6.727409363E-2,9.049812555E-1,9.560217736E-1
2.451843710E-1,3.114228249E-1,-3.769588470E-2,1.028645754E0,1.075414916E0
2.533925250E-1,1.676177979E-2,1.725006104E-1,9.730817080E-1,9.883953805E-1
2.615986020E-1,7.229475975E-1,-1.620683670E-1,9.911195040E-1,1.237431718E0
2.698491020E-1,3.217458725E-2,-2.316589355E-1,7.421563864E-1,7.781369856E-1
2.780576400E-1,-3.401660919E-2,-5.260391235E-1,8.647381067E-1,1.012741962E0
2.862829870E-1,-6.682310104E-1,-5.822281837E-1,1.098365903E0,1.411357502E0
2.944891400E-1,-1.158930779E0,-8.946080208E-1,1.047608376E0,1.800257584E0
3.026933710E-1,-1.383437157E0,-1.113380909E0,9.635112286E-1,2.020363656E0
3.109249860E-1,-2.331648350E0,-1.237335682E0,6.989865303E-1,2.730598064E0
3.191307560E-1,-1.609750032E0,-1.450619221E0,5.265419483E-1,2.229986034E0
3.273661020E-1,-1.582727671E0,-9.168758392E-1,4.134364128E-1,1.875264742E0
3.355739480E-1,-1.295969486E0,-2.760090828E-1,1.287369013E0,1.847440635E0
3.437811020E-1,-3.475537300E-1,1.183338165E-1,2.112685919E0,2.144350316E0
3.520224480E-1,-3.156661987E-4,6.391859055E-1,2.314870358E0,2.401496095E0
3.602276790E-1,1.378355026E-1,6.615405083E-1,2.193559885E0,2.295286352E0
3.684501790E-1,2.664365768E-1,3.070325851E-1,1.700114250E0,1.748040595E0
3.766552940E-1,9.031343460E-2,3.949975967E-2,8.567306995E-1,8.623828842E-1
3.848616780E-1,1.504387856E-1,-2.080726624E-1,3.527717590E-1,4.363186622E-1
3.930937550E-1,1.695756912E-1,-5.505266190E-1,1.772918701E-1,6.027170816E-1
4.013009860E-1,3.829431534E-2,-7.939381599E-1,2.258267403E-1,8.263183243E-1
4.095354090E-1,1.994848251E-2,-1.051198006E0,3.438491821E-1,1.106185992E0
4.177416010E-1,1.867976189E-1,-1.233135223E0,6.988344193E-1,1.429645192E0
4.259519480E-1,3.599452972E-1,-1.096372128E0,7.174694538E-1,1.358806416E0
4.341949090E-1,4.475202560E-1,-9.064326286E-1,9.252998829E-1,1.370428533E0
4.424028710E-1,2.959256172E-1,-6.919827461E-1,1.481060266E0,1.661310207E0
4.506308320E-1,4.333457947E-1,-6.337380409E-1,1.782123804E0,1.940458125E0
4.588362550E-1,2.360949516E-1,-1.038198948E0,1.605815649E0,1.926717878E0
4.670405630E-1,6.624650955E-2,-1.563281059E0,1.085906029E0,1.904580839E0
4.752718700E-1,-1.304478645E-1,-2.067080021E0,7.186830044E-1,2.192337045E0
4.834778320E-1,-3.804073334E-1,-2.607776642E0,7.549698353E-1,2.741384359E0
4.917097170E-1,-3.678355217E-1,-3.156000137E0,8.964080811E-1,3.301391720E0
4.999147170E-1,-3.686909676E-1,-3.615869999E0,9.990706444E-1,3.769428475E0
5.081181780E-1,-4.185585976E-1,-3.945386171E0,1.128777742E0,4.124973034E0
5.163649470E-1,-4.275751114E-1,-4.322115898E0,1.191552401E0,4.503698862E0
5.245691400E-1,-2.666244507E-1,-4.727461815E0,1.312088728E0,4.913406216E0
5.327919470E-1,-1.761474609E-1,-5.335939407E0,1.331522703E0,5.502384028E0
5.409966010E-1,-1.728987694E-1,-5.662579060E0,1.142936707E0,5.779359818E0
5.491994090E-1,1.654300690E-1,-5.678066254E0,7.407901287E-1,5.728575172E0
5.574276010E-1,2.153553963E-1,-5.717878819E0,1.923923492E-1,5.725166456E0
5.656316780E-1,1.425261497E-1,-5.817021370E0,-5.041701794E-1,5.840568371E0
5.738747930E-1,-5.488348007E-2,-5.805072784E0,-1.359391570E0,5.962367623E0
5.820799470E-1,-6.633763313E-1,-5.645081043E0,-2.020748854E0,6.032448431E0
5.902840240E-1,-8.919019699E-1,-5.555022717E0,-1.971627474E0,5.961634122E0
5.985174080E-1,-6.468338966E-1,-5.265252113E0,-1.242700577E0,5.448447360E0
6.067208700E-1,-8.508734703E-1,-4.140999317E0,-5.618301630E-1,4.264682185E0
6.149444080E-1,-4.003658295E-1,-1.422188282E0,-1.018564701E-1,1.480975033E0
