"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.328807000E-3,-7.452555746E-2,9.407325089E-2,-1.044579595E-1,1.591078268E-1
8.518043000E-3,-9.712757170E-2,1.142318025E-1,-1.569923609E-1,2.170927712E-1
1.061596600E-2,-1.038470939E-1,1.221730486E-1,-1.685988009E-1,2.326715031E-1
1.257535100E-2,-1.191187203E-1,1.258382350E-1,-1.881465018E-1,2.557804470E-1
1.442092300E-2,-1.295034289E-1,1.221730486E-1,-2.070833147E-1,2.730950221E-1
1.664427400E-2,-1.362229437E-1,1.148426682E-1,-2.168571651E-1,2.806644952E-1
1.860988400E-2,-1.380555481E-1,1.130100712E-1,-2.186897546E-1,2.822336254E-1
2.074781300E-2,-1.435533315E-1,1.099557430E-1,-2.266310006E-1,2.899300516E-1
2.262569200E-2,-1.514945775E-1,1.111774743E-1,-2.284636050E-1,2.958152407E-1
2.489465900E-2,-1.563815027E-1,1.087340117E-1,-2.272418737E-1,2.965082273E-1
2.677519200E-2,-1.594358236E-1,1.117883399E-1,-2.272418737E-1,2.992578887E-1
2.895527400E-2,-1.643227488E-1,1.099557430E-1,-2.284636050E-1,3.021387926E-1
3.109831300E-2,-1.679879427E-1,1.117883399E-1,-2.302961946E-1,3.061909846E-1
3.299996600E-2,-1.716531366E-1,1.166752651E-1,-2.296853364E-1,3.095694923E-1
3.484980700E-2,-1.692096740E-1,1.356120855E-1,-2.357939780E-1,3.203456751E-1
3.706831300E-2,-1.618792862E-1,1.777617931E-1,-2.510656118E-1,3.476177496E-1
3.894834600E-2,-1.679879427E-1,1.826487035E-1,-2.528982162E-1,3.543134284E-1
4.117138900E-2,-1.795943826E-1,1.765400618E-1,-2.467895597E-1,3.525983870E-1
4.307546100E-2,-1.857030392E-1,1.777617931E-1,-2.290744632E-1,3.443254036E-1
4.531708200E-2,-1.899790913E-1,2.052507252E-1,-2.260201424E-1,3.595900723E-1
4.720607700E-2,-1.899790913E-1,2.095267773E-1,-2.241875380E-1,3.609066053E-1
4.937735100E-2,-2.040289938E-1,2.040289938E-1,-2.107485086E-1,3.573102217E-1
5.147558200E-2,-2.138028294E-1,1.960877478E-1,-1.863138974E-1,3.447824286E-1
5.343812000E-2,-2.199114859E-1,2.046398520E-1,-1.637118906E-1,3.421112594E-1
5.528384600E-2,-2.186897546E-1,2.138028294E-1,-1.527163088E-1,3.418466463E-1
5.750573600E-2,-2.217440903E-1,2.345722616E-1,-1.368338168E-1,3.505967497E-1
5.939942300E-2,-2.113593817E-1,2.583959997E-1,-1.233947799E-1,3.559038530E-1
6.160835100E-2,-2.150245607E-1,2.687807083E-1,-1.154535338E-1,3.630539207E-1
6.349892300E-2,-2.070833147E-1,2.956587672E-1,-1.007927656E-1,3.747756495E-1
6.575373500E-2,-2.089159191E-1,3.176499307E-1,-8.796459436E-2,3.902372478E-1
6.769188400E-2,-2.089159191E-1,3.316998184E-1,-7.024950534E-2,3.982532156E-1
6.981312000E-2,-2.095267773E-1,3.414736688E-1,-6.475171447E-2,4.058306561E-1
7.195554300E-2,-2.119702399E-1,3.555235863E-1,-5.131268129E-2,4.170867946E-1
7.385531200E-2,-2.131919712E-1,3.744603992E-1,-3.848451003E-2,4.326112165E-1
7.572030700E-2,-2.119702399E-1,3.891211748E-1,-3.359758854E-2,4.443821207E-1
7.792396600E-2,-2.125810981E-1,4.306600094E-1,-3.909537569E-2,4.818580863E-1
7.982492300E-2,-2.260201424E-1,4.459316432E-1,-4.031710699E-2,5.015631609E-1
8.202719700E-2,-2.461786866E-1,4.361577928E-1,-3.054326214E-2,5.017673334E-1
8.391100000E-2,-2.608394623E-1,4.318817258E-1,-2.138028294E-2,5.049912540E-1
8.617327400E-2,-2.797762752E-1,4.276056588E-1,-7.330383174E-3,5.110529308E-1
8.805442300E-2,-2.974913716E-1,4.251621962E-1,3.665191587E-3,5.189194956E-1
9.023450500E-2,-3.078760803E-1,4.263839424E-1,1.038470957E-2,5.260216624E-1
9.233227400E-2,-3.139847219E-1,4.276056588E-1,1.221730467E-2,5.306432583E-1
9.429323500E-2,-3.194825351E-1,4.300491214E-1,1.588249579E-2,5.359697666E-1
9.616292300E-2,-3.145956099E-1,4.349360466E-1,1.282817032E-2,5.369397772E-1
9.836146600E-2,-3.188716471E-1,4.312708676E-1,9.773843922E-3,5.364412518E-1
1.002458840E-1,-3.127630055E-1,4.306600094E-1,3.054326167E-3,5.322575224E-1
1.024647350E-1,-3.090978265E-1,4.239404798E-1,-5.497787148E-3,5.246877380E-1
1.043883070E-1,-2.999348342E-1,4.105014503E-1,-1.527163107E-2,5.086310728E-1
1.066158890E-1,-2.962696552E-1,4.019493461E-1,-2.565634064E-2,4.999972332E-1
1.084983840E-1,-2.883284092E-1,3.817907870E-1,-3.970624134E-2,4.800771419E-1
1.106717740E-1,-2.809980214E-1,3.573561609E-1,-5.253441259E-2,4.576277726E-1
1.128158510E-1,-2.706133127E-1,3.329215646E-1,-6.536258012E-2,4.339822578E-1
