"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047417.574,"2026-06-10 01:23:37.574 UTC+02:00"
"PAUSE",6.683975661E1,1781047484.414,"2026-06-10 01:24:44.414 UTC+02:00"
