"event","experiment time","system time","system time text"
"START",0.000000000E0,1781010069.331,"2026-06-09 15:01:09.331 UTC+02:00"
"PAUSE",1.273740545E2,1781010196.705,"2026-06-09 15:03:16.705 UTC+02:00"
