"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047292.034,"2026-06-10 01:21:32.034 UTC+02:00"
"PAUSE",7.757281929E1,1781047369.607,"2026-06-10 01:22:49.607 UTC+02:00"
