"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.794121700E-1,1.199941635E-1,6.792032719E-2,8.217477798E-2,1.605131280E-1
5.876191310E-1,8.440971375E-2,6.985366344E-2,6.734609604E-2,1.286080508E-1
5.958665550E-1,8.950185776E-2,7.170641422E-2,1.076312065E-1,1.572795886E-1
6.040729780E-1,4.197931290E-2,5.203461647E-2,1.047506332E-1,1.242680940E-1
6.122791310E-1,5.893516541E-2,3.978312016E-2,1.163768768E-1,1.363804525E-1
6.205097080E-1,-1.348495483E-3,4.927778244E-2,1.095175743E-1,1.201008633E-1
6.287164770E-1,-5.588054657E-2,1.829290390E-2,6.593227386E-2,8.834212220E-2
6.369586700E-1,-2.077918053E-1,-1.882505417E-2,1.199674606E-2,2.089874133E-1
6.451661310E-1,-1.557970047E-1,1.003444195E-2,-1.837968826E-2,1.571979950E-1
6.533738240E-1,7.791137695E-2,4.219520092E-2,-5.546569824E-3,8.877714839E-2
6.616032470E-1,1.285285950E-1,7.922458649E-2,4.655265808E-2,1.579977367E-1
6.698104000E-1,8.640670776E-2,2.293610573E-2,3.328847885E-2,9.539552881E-2
6.780486310E-1,1.304001808E-1,-1.864564419E-2,3.442287445E-2,1.361499228E-1
6.862571700E-1,8.335876465E-2,-1.920914650E-2,6.909275055E-2,1.099612801E-1
6.944641700E-1,9.796476364E-2,-1.032829285E-2,1.188693047E-1,1.543816056E-1
7.026946700E-1,1.675648689E-1,1.272130013E-2,1.855492592E-1,2.503364623E-1
7.109019390E-1,2.470316887E-1,4.484283924E-2,1.706137657E-1,3.035532779E-1
7.191167460E-1,2.198772430E-1,1.385090351E-1,1.329956055E-1,2.919222258E-1
7.273252850E-1,2.042741776E-1,1.408721209E-1,1.051306725E-1,2.694909133E-1
7.355322460E-1,7.682847977E-2,9.536147118E-2,5.014038086E-2,1.323271827E-1
7.437633230E-1,-4.000663757E-4,4.535019398E-2,6.699562073E-2,8.090249281E-2
7.519714000E-1,-3.527307510E-2,5.351293087E-2,3.669261932E-2,7.385236564E-2
7.602427850E-1,1.391839981E-2,1.914179325E-2,1.076698303E-2,2.600111586E-2
7.684492460E-1,1.039609909E-1,-2.902233601E-2,1.329088211E-2,1.087512352E-1
7.766564380E-1,1.242499352E-1,3.558182716E-2,2.573204041E-2,1.317810711E-1
7.848877460E-1,5.105447769E-2,5.240082741E-2,-1.144409180E-5,7.316014309E-2
7.930962850E-1,1.402382851E-1,7.708275318E-2,2.490139008E-2,1.619524827E-1
8.013337850E-1,2.607722282E-1,8.016121387E-2,2.084541321E-2,2.736101359E-1
8.095402840E-1,3.247780800E-1,6.609821320E-2,9.718608856E-2,3.453909536E-1
8.177465920E-1,3.007817268E-1,1.373291016E-3,2.112321854E-1,3.675466899E-1
8.259768610E-1,2.050199509E-1,-8.324134350E-2,2.774724960E-1,3.548989822E-1
8.341841310E-1,1.016702652E-1,-1.162322760E-1,3.108749390E-1,3.471167130E-1
8.424333230E-1,1.204199791E-1,-6.667494774E-2,4.785971642E-1,4.979977566E-1
8.506398230E-1,5.897855759E-2,-2.110874653E-2,2.908592224E-1,2.975283797E-1
8.588461300E-1,5.376195908E-2,-3.337049484E-2,1.090092659E-1,1.260434775E-1
8.670802070E-1,1.251707077E-1,-2.628922462E-2,-4.415702820E-2,1.353095434E-1
8.752871300E-1,1.073565483E-1,-3.812897205E-2,-1.008472443E-1,1.521493137E-1
8.835006690E-1,1.226434708E-1,-1.829695702E-2,-7.813882828E-2,1.465669678E-1
8.917079760E-1,1.569256783E-1,-2.948284149E-3,6.680727005E-2,1.705801050E-1
8.999154760E-1,1.265158653E-1,7.641196251E-3,1.758937836E-1,2.168023873E-1
9.081472070E-1,1.343393326E-1,1.289808750E-2,1.295475960E-1,1.870721694E-1
9.163545530E-1,1.592698097E-1,2.487039566E-2,1.642823219E-1,2.301610092E-1
9.245944760E-1,1.146054268E-1,1.733911037E-2,2.088518143E-1,2.388600614E-1
9.328030920E-1,7.240629196E-2,-1.198983192E-2,1.671934128E-1,1.825926189E-1
9.410125530E-1,2.303171158E-2,-2.477514744E-2,1.471152306E-1,1.509541610E-1
9.492456300E-1,4.099082947E-2,3.664815426E-2,1.123232841E-1,1.250594078E-1
9.574529760E-1,4.773473740E-2,6.911599636E-2,8.626174927E-2,1.204023068E-1
