"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.730690300E-2,1.059293747E-1,-1.799106598E-2,6.806707382E-2,1.271921280E-1
2.551274900E-2,1.199779510E-1,3.934085369E-2,4.937362671E-2,1.355734728E-1
3.371632600E-2,9.975814819E-2,6.065511703E-2,6.882905960E-2,1.355292249E-1
4.194405700E-2,1.052236557E-1,6.652021408E-2,1.324501038E-1,1.817690474E-1
5.014798000E-2,6.473445892E-2,5.716371536E-2,2.028799057E-1,2.204960241E-1
5.835794100E-2,3.712081909E-2,5.314302444E-2,1.883654594E-1,1.992076368E-1
6.656324900E-2,2.585601807E-2,2.616012096E-2,1.485686302E-1,1.530539888E-1
7.476882600E-2,1.437854767E-2,2.003443241E-2,1.060433388E-1,1.088729113E-1
8.299751800E-2,3.456497192E-2,5.091190338E-3,1.012110710E-1,1.070716508E-1
9.120444100E-2,4.186344147E-2,-1.842916012E-2,1.059298515E-1,1.153833399E-1
9.944455700E-2,7.057476044E-2,-1.986765862E-2,9.047555923E-2,1.164531987E-1
1.076502870E-1,7.072544098E-2,-4.568171501E-2,9.037303925E-2,1.235159638E-1
1.158567490E-1,6.511497498E-2,-2.751338482E-2,7.028341293E-2,9.968301984E-2
1.240870950E-1,6.768894196E-2,-3.409075737E-2,4.861164093E-2,9.003923720E-2
1.322924410E-1,4.629802704E-2,-3.345739841E-2,4.374408722E-2,7.194755022E-2
1.405272870E-1,4.657840729E-2,-4.715335369E-2,5.784797668E-2,8.797371878E-2
1.487327100E-1,4.568958282E-2,-4.337441921E-2,6.840658188E-2,9.299644437E-2
1.569385560E-1,9.388828278E-2,-7.349407673E-2,9.691143036E-2,1.536496479E-1
1.651690950E-1,1.061086655E-1,-5.966341496E-2,9.935474396E-2,1.571309553E-1
1.733751330E-1,1.109018326E-1,-4.491019249E-2,7.789611816E-2,1.427723611E-1
1.816452870E-1,1.180019379E-1,-5.645215511E-2,4.939842224E-2,1.398267044E-1
1.898508250E-1,7.203578949E-2,-6.145668030E-2,3.216266632E-2,1.000025781E-1
1.980552870E-1,7.644081116E-2,-5.630993843E-2,4.001855850E-2,1.030315088E-1
2.062826720E-1,5.874252319E-2,-4.464960098E-2,4.559612274E-2,8.673682787E-2
2.144868250E-1,3.685569763E-2,-4.876542091E-2,6.304168701E-2,8.781038108E-2
2.226995180E-1,7.182884216E-2,-6.152415276E-2,8.044528961E-2,1.241613811E-1
2.309062100E-1,6.892681122E-2,-5.854237080E-2,9.572935104E-2,1.316898748E-1
2.391113250E-1,9.149169922E-2,-2.759385109E-2,7.682609558E-2,1.226148466E-1
2.473398640E-1,1.004161835E-1,-2.020943165E-2,5.871009827E-2,1.180622999E-1
2.555430560E-1,9.254932404E-2,-1.045596600E-2,5.020904541E-2,1.058095121E-1
2.637887870E-1,1.324787140E-1,-7.831931114E-3,5.143308640E-2,1.423281813E-1
2.719935560E-1,1.078290939E-1,-2.913725376E-2,7.650709152E-2,1.353862183E-1
2.801974020E-1,1.118535995E-1,-7.182598114E-3,7.776355743E-2,1.364184310E-1
2.884247100E-1,1.229410172E-1,-1.177990437E-2,6.478357315E-2,1.394638706E-1
2.966294400E-1,1.077671051E-1,1.676082611E-4,3.966045380E-2,1.148334822E-1
3.048645940E-1,9.023189545E-2,-2.872121334E-2,2.642583847E-2,9.831087422E-2
3.130678630E-1,1.157360077E-1,-1.431655884E-2,6.145477295E-3,1.167799393E-1
3.212710940E-1,1.246147156E-1,-1.882076263E-2,2.486705780E-3,1.260524976E-1
3.294998250E-1,1.168956757E-1,-2.806627750E-2,1.056766510E-2,1.206813592E-1
3.377040940E-1,1.499557495E-1,-2.283644676E-2,2.574110031E-2,1.538532884E-1
3.459398250E-1,1.687564850E-1,-8.112549782E-3,4.073381424E-2,1.737924288E-1
3.541447090E-1,1.826524734E-1,1.152217388E-2,3.678035736E-2,1.866748008E-1
3.623491710E-1,1.821432114E-1,3.323137760E-2,4.477453232E-2,1.904868306E-1
3.705762480E-1,1.743717194E-1,1.649987698E-2,3.609752655E-2,1.788316915E-1
3.787804020E-1,1.211881638E-1,1.192605495E-2,3.932237625E-2,1.279650386E-1
3.869922090E-1,9.221649170E-2,1.928937435E-2,1.339721680E-2,9.516011098E-2
3.951987090E-1,9.674453735E-2,1.006710529E-2,9.097576141E-3,9.769144286E-2
4.034049020E-1,9.193611145E-2,3.200745583E-2,4.442214966E-3,9.744977727E-2
4.116366710E-1,1.231002808E-1,2.753198147E-2,3.319406509E-2,1.304359425E-1
4.198451710E-1,1.329269409E-1,1.598787308E-2,2.814006805E-2,1.368102596E-1
4.281175940E-1,1.260461807E-1,2.813374996E-2,4.927730560E-2,1.382295208E-1
4.363262860E-1,1.406688690E-1,3.794801235E-2,2.979660034E-2,1.487132131E-1
4.445344010E-1,1.169710159E-1,1.894640923E-2,4.622650146E-2,1.271930597E-1
4.527650170E-1,1.099681854E-1,1.898765564E-2,4.835748672E-2,1.216222817E-1
4.609723630E-1,1.270523071E-1,2.385640144E-2,4.070615768E-2,1.355300996E-1
4.692123630E-1,1.058473587E-1,4.317772388E-2,5.459547043E-2,1.266832450E-1
4.774187860E-1,1.206598282E-1,3.604984283E-2,5.393266678E-2,1.369931307E-1
4.856255170E-1,1.137781143E-1,3.602945805E-2,4.389715195E-2,1.271634424E-1
4.938554010E-1,1.213216782E-1,5.038988590E-2,6.010627747E-2,1.444674869E-1
5.020617860E-1,1.075954437E-1,4.326665401E-2,7.831192017E-2,1.399340548E-1
5.103120930E-1,1.297063828E-1,2.374196053E-2,8.215236664E-2,1.553590608E-1
5.185191320E-1,1.375007629E-1,4.517555237E-3,8.838891983E-2,1.635220758E-1
5.267259010E-1,1.380701065E-1,1.149642467E-2,5.156278610E-2,1.478318065E-1
5.349579010E-1,1.265001297E-1,6.403684616E-3,6.045484543E-2,1.403498426E-1
5.431645930E-1,1.220626831E-1,1.086342335E-2,4.786872864E-2,1.315626381E-1
5.513782860E-1,1.055202484E-1,3.170597553E-2,4.974842072E-2,1.208912614E-1
5.595857470E-1,7.466030121E-2,2.405285835E-2,4.683303833E-2,9.135663113E-2
5.677920160E-1,9.173202515E-2,1.650512218E-2,6.063032150E-2,1.111900148E-1
5.760209780E-1,9.934616089E-2,2.333295345E-2,5.509853363E-2,1.159738540E-1
5.842266320E-1,1.165685654E-1,8.732795715E-3,3.997373581E-2,1.235410527E-1
5.924647090E-1,1.290483475E-1,6.024241447E-3,4.630565643E-2,1.372369531E-1
6.006691700E-1,1.533164978E-1,-6.043910980E-3,3.142404556E-2,1.566203946E-1
6.088742080E-1,1.463432312E-1,-6.217122078E-3,4.063701630E-2,1.520077663E-1
6.171029010E-1,1.319971085E-1,7.838010788E-3,3.095054626E-2,1.358035617E-1
6.253084780E-1,1.081342697E-1,2.433931828E-2,3.555154800E-2,1.164016120E-1
