"event","experiment time","system time","system time text"
"START",0.000000000E0,1781047521.607,"2026-06-10 01:25:21.607 UTC+02:00"
"PAUSE",6.532377961E1,1781047586.930,"2026-06-10 01:26:26.930 UTC+02:00"
